"CountryName","RegionName","Date","PredictedDailyNewCases","PredictedDailyNewDeaths","PredictedDailyNewHospital","PredictedDailyNewICU","Cost"
"Afghanistan","",2021-02-10,12696.7087912573,NA,NA,NA,34
"Afghanistan","",2021-02-11,14083.1101120919,NA,NA,NA,34
"Afghanistan","",2021-02-12,15520.2268389453,NA,NA,NA,34
"Afghanistan","",2021-02-13,17004.4436943652,NA,NA,NA,34
"Afghanistan","",2021-02-14,18691.3316048758,NA,NA,NA,34
"Afghanistan","",2021-02-15,22091.3777644525,NA,NA,NA,34
"Afghanistan","",2021-02-16,22707.2247062221,NA,3174.17719781433,952.2531593443,34
"Afghanistan","",2021-02-17,23961.858515279,NA,3520.77752802297,1056.23325840689,34
"Afghanistan","",2021-02-18,26182.9098994247,NA,3880.05670973633,1164.0170129209,34
"Afghanistan","",2021-02-19,28485.8105108611,NA,4251.1109235913,1275.33327707739,34
"Afghanistan","",2021-02-20,30863.4778946725,NA,4672.83290121895,1401.84987036569,34
"Afghanistan","",2021-02-21,33466.9972213911,NA,5522.84444111314,1656.85333233394,34
"Afghanistan","",2021-02-22,37799.7793981594,NA,5676.80617655552,1703.04185296665,34
"Afghanistan","",2021-02-23,39347.0237389452,126.967087912573,5990.46462881974,1797.13938864592,34
"Afghanistan","",2021-02-24,41538.8360532472,140.831101120919,6545.72747485619,1963.71824245686,34
"Afghanistan","",2021-02-25,44694.8034802623,155.202268389453,7121.45262771527,2136.43578831458,34
"Afghanistan","",2021-02-26,47920.5015579273,170.044436943652,7715.86947366812,2314.76084210044,34
"Afghanistan","",2021-02-27,51204.4888305547,186.913316048758,8366.74930534777,2510.02479160433,34
"Afghanistan","",2021-02-28,54693.466301526,220.913777644525,9449.94484953986,2834.98345486196,34
"Afghanistan","",2021-03-01,59883.911140184,227.072247062221,9836.7559347363,2951.02678042089,34
"Afghanistan","",2021-03-02,62237.4473306369,239.61858515279,10384.7090133118,3115.41270399354,34
"Afghanistan","",2021-03-03,65198.2306491181,261.829098994247,11173.7008700656,3352.11026101967,34
"Afghanistan","",2021-03-04,69038.3738641369,284.858105108611,11980.1253894818,3594.03761684455,34
"Afghanistan","",2021-03-05,72846.7113511223,308.634778946725,12801.1222076387,3840.3366622916,34
"Afghanistan","",2021-03-06,76594.9288687704,334.669972213911,13673.3665753815,4102.00997261445,34
"Afghanistan","",2021-03-07,80413.1916498215,377.997793981594,14970.977785046,4491.2933355138,34
"Afghanistan","",2021-03-08,85779.6522117391,393.470237389452,15559.3618326592,4667.80854979777,34
"Afghanistan","",2021-03-09,88116.8861528257,415.388360532472,16299.5576622795,4889.86729868386,34
"Afghanistan","",2021-03-10,90893.6116676539,446.948034802623,17259.5934660342,5177.87803981027,34
"Afghanistan","",2021-03-11,94363.9269300754,479.205015579273,18211.6778377806,5463.50335133417,34
"Afghanistan","",2021-03-12,97594.4131227834,512.044888305547,19148.7322171926,5744.61966515778,34
"Afghanistan","",2021-03-13,100549.908056609,546.93466301526,20103.2979124554,6030.98937373661,34
"Afghanistan","",2021-03-14,103357.68604191,598.83911140184,21444.9130529348,6433.47391588043,34
"Afghanistan","",2021-03-15,107493.780916832,622.374473306369,22029.2215382064,6608.76646146193,34
"Afghanistan","",2021-03-16,108354.050032082,651.982306491181,22723.4029169135,6817.02087507404,34
"Afghanistan","",2021-03-17,109469.483975018,690.383738641369,23590.9817325188,7077.29451975565,34
"Afghanistan","",2021-03-18,111097.798743336,728.467113511223,24398.6032806959,7319.58098420876,34
"Afghanistan","",2021-03-19,112305.642330262,765.949288687704,25137.4770141524,7541.24310424571,34
"Afghanistan","",2021-03-20,113078.109784628,804.131916498215,25839.4215104774,7751.82645314323,34
"Afghanistan","",2021-03-21,113568.42710851,857.796522117391,26873.4452292079,8062.03356876237,34
"Afghanistan","",2021-03-22,115277.656654278,881.168861528257,27088.5125080206,8126.55375240618,34
"Afghanistan","",2021-03-23,113596.166492715,908.936116676539,27367.3709937545,8210.21129812637,34
"Afghanistan","",2021-03-24,112152.848042179,943.639269300754,27774.449685834,8332.33490575021,34
"Afghanistan","",2021-03-25,111225.618574559,975.944131227834,28076.4105825654,8422.92317476962,34
"Afghanistan","",2021-03-26,109894.955786119,1005.49908056609,28269.527446157,8480.85823384711,34
"Afghanistan","",2021-03-27,108178.657810972,1033.5768604191,28392.1067771275,8517.63203313823,34
"Afghanistan","",2021-03-28,106261.629185183,1074.93780916832,28819.4141635696,8645.82424907089,34
"Afghanistan","",2021-03-29,105670.371752411,1083.54050032082,28399.0416231787,8519.7124869536,34
"Afghanistan","",2021-03-30,101785.640172843,1094.69483975018,28038.2120105447,8411.4636031634,34
"Afghanistan","",2021-03-31,98324.0495000404,1110.97798743336,27806.4046436397,8341.92139309191,34
"Afghanistan","",2021-04-01,95565.3209283428,1123.05642330262,27473.7389465297,8242.1216839589,34
"Afghanistan","",2021-04-02,92584.3777942746,1130.78109784628,27044.6644527431,8113.39933582294,34
"Afghanistan","",2021-04-03,89409.0134954364,1135.6842710851,26565.4072962957,7969.62218888871,34
"Afghanistan","",2021-04-04,86230.8982745669,1152.77656654278,26417.5929381028,7925.27788143085,34
"Afghanistan","",2021-04-05,84576.0397591041,1135.96166492715,25446.4100432108,7633.92301296323,34
"Afghanistan","",2021-04-06,79794.5960362617,1121.52848042179,24581.0123750101,7374.30371250303,34
"Afghanistan","",2021-04-07,75655.730421161,1112.25618574559,23891.3302320857,7167.39906962571,34
