"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2019/12/31",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"2","2020/01/01",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"3","2020/01/02",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"4","2020/01/03",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"5","2020/01/04",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"6","2020/01/05",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"7","2020/01/06",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"8","2020/01/07",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"9","2020/01/08",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"10","2020/01/09",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"11","2020/01/10",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"12","2020/01/11",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"13","2020/01/12",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"14","2020/01/13",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"15","2020/01/14",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"16","2020/01/15",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"17","2020/01/16",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"18","2020/01/17",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"19","2020/01/18",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"20","2020/01/19",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"21","2020/01/20",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"22","2020/01/21",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"23","2020/01/22",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"24","2020/01/23",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"25","2020/01/24",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"26","2020/01/25",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"27","2020/01/26",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"28","2020/01/27",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"29","2020/01/28",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"30","2020/01/29",0,0,0,0,0,0,0,0,0,0,0,0,10649800
"31","2020/01/30",0,0,0,0,0,0,0,0,0,0,0,0,10649800
