"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2019/12/31",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"2","2020/01/01",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"3","2020/01/02",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"4","2020/01/03",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"5","2020/01/04",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"6","2020/01/05",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"7","2020/01/06",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"8","2020/01/07",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"9","2020/01/08",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"10","2020/01/09",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"11","2020/01/10",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"12","2020/01/11",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"13","2020/01/12",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"14","2020/01/13",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"15","2020/01/14",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"16","2020/01/15",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"17","2020/01/16",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"18","2020/01/17",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"19","2020/01/18",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"20","2020/01/19",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"21","2020/01/20",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"22","2020/01/21",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"23","2020/01/22",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"24","2020/01/23",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"25","2020/01/24",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"26","2020/01/25",0,0,0,0,0,0,0,0,0,0,0,0,37411038
"27","2020/01/26",1,0,1,0,1,1,1,2.67300789676031e-08,2.67300789676031e-08,2.67300789676031e-08,2.67300789676031e-08,2.67300789676031e-08,37411038
"28","2020/01/27",0,0,1,0,1,1,1,2.67300789676031e-08,0,2.67300789676031e-08,2.67300789676031e-08,2.67300789676031e-08,37411038
"29","2020/01/28",1,0,2,0,2,2,2,5.34601579352062e-08,2.67300789676031e-08,5.34601579352062e-08,5.34601579352062e-08,5.34601579352062e-08,37411038
"30","2020/01/29",1,0,3,0,3,3,3,8.01902369028093e-08,2.67300789676031e-08,8.01902369028093e-08,8.01902369028093e-08,8.01902369028093e-08,37411038
"31","2020/01/30",0,0,3,0,3,3,3,8.01902369028093e-08,0,8.01902369028093e-08,8.01902369028093e-08,8.01902369028093e-08,37411038
