"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2020/01/01",0,0,0,0,0,0,0,0,0,0,0,0,126967
"2","2020/01/02",0,0,0,0,0,0,0,0,0,0,0,0,126967
"3","2020/01/03",0,0,0,0,0,0,0,0,0,0,0,0,126967
"4","2020/01/04",0,0,0,0,0,0,0,0,0,0,0,0,126967
"5","2020/01/05",0,0,0,0,0,0,0,0,0,0,0,0,126967
"6","2020/01/06",0,0,0,0,0,0,0,0,0,0,0,0,126967
"7","2020/01/07",0,0,0,0,0,0,0,0,0,0,0,0,126967
"8","2020/01/08",0,0,0,0,0,0,0,0,0,0,0,0,126967
"9","2020/01/09",0,0,0,0,0,0,0,0,0,0,0,0,126967
"10","2020/01/10",0,0,0,0,0,0,0,0,0,0,0,0,126967
"11","2020/01/11",0,0,0,0,0,0,0,0,0,0,0,0,126967
"12","2020/01/12",0,0,0,0,0,0,0,0,0,0,0,0,126967
"13","2020/01/13",0,0,0,0,0,0,0,0,0,0,0,0,126967
"14","2020/01/14",0,0,0,0,0,0,0,0,0,0,0,0,126967
"15","2020/01/15",0,0,0,0,0,0,0,0,0,0,0,0,126967
"16","2020/01/16",0,0,0,0,0,0,0,0,0,0,0,0,126967
"17","2020/01/17",0,0,0,0,0,0,0,0,0,0,0,0,126967
"18","2020/01/18",0,0,0,0,0,0,0,0,0,0,0,0,126967
"19","2020/01/19",0,0,0,0,0,0,0,0,0,0,0,0,126967
"20","2020/01/20",0,0,0,0,0,0,0,0,0,0,0,0,126967
"21","2020/01/21",0,0,0,0,0,0,0,0,0,0,0,0,126967
"22","2020/01/22",0,0,0,0,0,0,0,0,0,0,0,0,126967
"23","2020/01/23",0,0,0,0,0,0,0,0,0,0,0,0,126967
"24","2020/01/24",0,0,0,0,0,0,0,0,0,0,0,0,126967
"25","2020/01/25",0,0,0,0,0,0,0,0,0,0,0,0,126967
"26","2020/01/26",0,0,0,0,0,0,0,0,0,0,0,0,126967
"27","2020/01/27",0,0,0,0,0,0,0,0,0,0,0,0,126967
"28","2020/01/28",0,0,0,0,0,0,0,0,0,0,0,0,126967
"29","2020/01/29",0,0,0,0,0,0,0,0,0,0,0,0,126967
"30","2020/01/30",0,0,0,0,0,0,0,0,0,0,0,0,126967
"31","2020/01/31",0,0,0,0,0,0,0,0,0,0,0,0,126967
"32","2020/02/01",0,0,0,0,0,0,0,0,0,0,0,0,126967
"33","2020/02/02",0,0,0,0,0,0,0,0,0,0,0,0,126967
"34","2020/02/03",0,0,0,0,0,0,0,0,0,0,0,0,126967
"35","2020/02/04",0,0,0,0,0,0,0,0,0,0,0,0,126967
"36","2020/02/05",0,0,0,0,0,0,0,0,0,0,0,0,126967
"37","2020/02/06",0,0,0,0,0,0,0,0,0,0,0,0,126967
"38","2020/02/07",0,0,0,0,0,0,0,0,0,0,0,0,126967
"39","2020/02/08",0,0,0,0,0,0,0,0,0,0,0,0,126967
"40","2020/02/09",0,0,0,0,0,0,0,0,0,0,0,0,126967
"41","2020/02/10",0,0,0,0,0,0,0,0,0,0,0,0,126967
"42","2020/02/11",0,0,0,0,0,0,0,0,0,0,0,0,126967
"43","2020/02/12",0,0,0,0,0,0,0,0,0,0,0,0,126967
"44","2020/02/13",0,0,0,0,0,0,0,0,0,0,0,0,126967
"45","2020/02/14",0,0,0,0,0,0,0,0,0,0,0,0,126967
