"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"35369","2020/03/20","MU",1269670,3,0,3,0,3,3,2.36281868517016e-06,2.36281868517016e-06,2.36281868517016e-06,2.36281868517016e-06
"35368","2020/03/21","MU",1269670,9,0,12,0,12,12,9.45127474068065e-06,7.08845605551049e-06,9.45127474068065e-06,9.45127474068065e-06
"35367","2020/03/22","MU",1269670,2,1,14,1,14,14,1.10264871974608e-05,1.57521245678011e-06,1.10264871974608e-05,1.10264871974608e-05
"35366","2020/03/23","MU",1269670,14,1,28,2,28,28,2.20529743949215e-05,1.10264871974608e-05,2.20529743949215e-05,2.20529743949215e-05
"35365","2020/03/24","MU",1269670,8,0,36,2,36,36,2.83538242220419e-05,6.30084982712043e-06,2.83538242220419e-05,2.83538242220419e-05
"35364","2020/03/25","MU",1269670,6,0,42,2,42,42,3.30794615923823e-05,4.72563737034032e-06,3.30794615923823e-05,3.30794615923823e-05
"35363","2020/03/26","MU",1269670,6,0,48,2,48,48,3.78050989627226e-05,4.72563737034032e-06,3.78050989627226e-05,3.78050989627226e-05
"35362","2020/03/27","MU",1269670,33,0,81,2,81,81,6.37961044995944e-05,2.59910055368718e-05,6.37961044995944e-05,6.37961044995944e-05
"35361","2020/03/28","MU",1269670,13,0,94,2,94,94,7.40349854686651e-05,1.02388809690707e-05,7.40349854686651e-05,7.40349854686651e-05
"35360","2020/03/29","MU",1269670,8,0,102,2,102,102,8.03358352957855e-05,6.30084982712043e-06,8.03358352957855e-05,8.03358352957855e-05
"35359","2020/03/30","MU",1269670,8,1,110,3,110,110,8.66366851229059e-05,6.30084982712043e-06,8.66366851229059e-05,8.66366851229059e-05
"35358","2020/03/31","MU",1269670,18,0,128,3,128,128,0.000100813597233927,1.4176912111021e-05,0.000100813597233927,0.000100813597233927
"35357","2020/04/01","MU",1269670,15,0,143,3,140,143,0.000112627690659778,1.18140934258508e-05,0.000110264871974608,0.000112627690659778
"35356","2020/04/02","MU",1269670,11,2,154,5,142,154,0.000121291359172068,8.6636685122906e-06,0.000111840084431388,0.000121291359172068
"35355","2020/04/03","MU",1269670,15,2,169,7,155,169,0.000133105452597919,1.18140934258508e-05,0.000122078965400458,0.000133105452597919
"35354","2020/04/04","MU",1269670,17,0,186,7,158,186,0.00014649475848055,1.33893058826309e-05,0.000124441784085629,0.00014649475848055
"35353","2020/04/05","MU",1269670,10,0,196,7,160,196,0.000154370820764451,7.87606228390054e-06,0.000126016996542409,0.000154370820764451
"35352","2020/04/06","MU",1269670,31,0,227,7,185,227,0.000178786613844542,2.44157930800917e-05,0.00014570715225216,0.000178786613844542
"35351","2020/04/07","MU",1269670,17,0,244,7,196,241,0.000192175919727173,1.33893058826309e-05,0.000154370820764451,0.000189813101042003
"35350","2020/04/08","MU",1269670,24,0,268,7,187,256,0.000211078469208535,1.89025494813613e-05,0.00014728236470894,0.000201627194467854
"35349","2020/04/09","MU",1269670,5,0,273,7,179,259,0.000215016500350485,3.93803114195027e-06,0.00014098151488182,0.000203990013153024
"35348","2020/04/10","MU",1269670,41,0,314,7,212,286,0.000247308355714477,3.22918553639922e-05,0.000166972520418691,0.000225255381319555
"35347","2020/04/11","MU",1269670,4,2,318,9,208,282,0.000250458780628037,3.15042491356022e-06,0.000163822095505131,0.000222104956405995
"35346","2020/04/12","MU",1269670,1,0,319,9,191,277,0.000251246386856427,7.87606228390054e-07,0.0001504327896225,0.000218166925264045
"35345","2020/04/13","MU",1269670,5,0,324,9,181,276,0.000255184417998378,3.93803114195027e-06,0.0001425567273386,0.000217379319035655
"35344","2020/04/14","MU",1269670,0,0,324,9,170,243,0.000255184417998378,0,0.000133893058826309,0.000191388313498783
"35343","2020/04/15","MU",1269670,0,0,324,9,155,230,0.000255184417998378,0,0.000122078965400458,0.000181149432529712
"35342","2020/04/16","MU",1269670,0,0,324,9,138,222,0.000255184417998378,0,0.000108689659517827,0.000174848582702592
"35341","2020/04/17","MU",1269670,0,0,324,9,128,214,0.000255184417998378,0,0.000100813597233927,0.000168547732875472
"35340","2020/04/18","MU",1269670,0,0,324,9,97,196,0.000255184417998378,0,7.63978041538352e-05,0.000154370820764451
"35339","2020/04/19","MU",1269670,1,0,325,9,81,182,0.000255972024226768,7.87606228390054e-07,6.37961044995944e-05,0.00014334433356699
"35338","2020/04/20","MU",1269670,3,0,328,9,60,174,0.000258334842911938,2.36281868517016e-06,4.72563737034032e-05,0.000137043483739869
"35337","2020/04/21","MU",1269670,0,0,328,9,55,159,0.000258334842911938,0,4.3318342561453e-05,0.000125229390314019
"35336","2020/04/22","MU",1269670,0,0,328,9,14,142,0.000258334842911938,0,1.10264871974608e-05,0.000111840084431388
"35335","2020/04/23","MU",1269670,1,0,329,9,11,133,0.000259122449140328,7.87606228390054e-07,8.6636685122906e-06,0.000104751628375877
"35334","2020/04/24","MU",1269670,2,0,331,9,12,104,0.000260697661597108,1.57521245678011e-06,9.45127474068065e-06,8.19110477525656e-05
