"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"5164","2020/03/16","MR",4525698,1,0,1,0,1,1,2.20960391082215e-07,2.20960391082215e-07,2.20960391082215e-07,2.20960391082215e-07
"5163","2020/03/23","MR",4525698,1,0,2,0,2,2,4.41920782164431e-07,2.20960391082215e-07,4.41920782164431e-07,4.41920782164431e-07
"5162","2020/03/30","MR",4525698,3,0,5,0,5,5,1.10480195541108e-06,6.62881173246646e-07,1.10480195541108e-06,1.10480195541108e-06
"5161","2020/04/06","MR",4525698,1,1,6,1,6,6,1.32576234649329e-06,2.20960391082215e-07,1.32576234649329e-06,1.32576234649329e-06
"5160","2020/04/13","MR",4525698,1,0,7,1,7,7,1.54672273757551e-06,2.20960391082215e-07,1.54672273757551e-06,1.54672273757551e-06
"5159","2020/04/20","MR",4525698,0,0,7,1,7,7,1.54672273757551e-06,0,1.54672273757551e-06,1.54672273757551e-06
"5158","2020/04/27","MR",4525698,0,0,7,1,7,7,1.54672273757551e-06,0,1.54672273757551e-06,1.54672273757551e-06
"5157","2020/05/04","MR",4525698,1,0,8,1,8,8,1.76768312865772e-06,2.20960391082215e-07,1.76768312865772e-06,1.76768312865772e-06
"5156","2020/05/11","MR",4525698,0,0,8,1,8,8,1.76768312865772e-06,0,1.76768312865772e-06,1.76768312865772e-06
"5155","2020/05/18","MR",4525698,54,3,62,4,62,62,1.36995442470974e-05,1.19318611184396e-05,1.36995442470974e-05,1.36995442470974e-05
"5154","2020/05/25","MR",4525698,175,2,237,6,237,237,5.2367612686485e-05,3.86680684393877e-05,5.2367612686485e-05,5.2367612686485e-05
"5153","2020/06/01","MR",4525698,293,17,530,23,530,530,0.000117109007273574,6.47413945870891e-05,0.000117109007273574,0.000117109007273574
"5152","2020/06/08","MR",4525698,417,20,947,43,946,947,0.000209249490354858,9.21404830812838e-05,0.000209028529963776,0.000209249490354858
"5151","2020/06/15","MR",4525698,836,44,1783,87,1781,1783,0.00039397237729959,0.000184722886944732,0.000393530456517426,0.00039397237729959
"5150","2020/06/22","MR",4525698,1030,21,2813,108,2808,2813,0.000621561580114272,0.000227589202814682,0.000620456778158861,0.000621561580114272
"5149","2020/06/29","MR",4525698,1094,12,3907,120,3901,3907,0.000863292247958215,0.000241730667843944,0.000861966485611722,0.000863292247958215
"5148","2020/07/06","MR",4525698,972,10,4879,130,4872,4879,0.00107806574809013,0.000214773500131913,0.00107651902535255,0.00107806574809013
"5147","2020/07/13","MR",4525698,247,14,5126,144,5119,5126,0.00113264296468744,5.45772165973072e-05,0.00113109624194986,0.00113264296468744
"5146","2020/07/20","MR",4525698,747,11,5873,155,5866,5872,0.00129770037682585,0.000165057412138415,0.00129615365408828,0.00129747941643477
"5145","2020/07/27","MR",4525698,298,1,6171,156,6163,6169,0.00136354657336835,6.58461965425002e-05,0.00136177889023969,0.00136310465258619
"5144","2020/08/03","MR",4525698,139,1,6310,157,6302,6305,0.00139426006772878,3.07134943604279e-05,0.00139249238460012,0.00139315526577337
"5143","2020/08/10","MR",4525698,188,0,6498,157,6436,6492,0.00143580062125224,4.15405535234565e-05,0.00142210107700514,0.00143447485890574
"5142","2020/08/17","MR",4525698,203,0,6701,157,6464,6694,0.00148065558064193,4.48549593896897e-05,0.00142828796795544,0.00147910885790435
"5141","2020/08/24","MR",4525698,184,1,6885,158,6355,6878,0.00152131229260105,4.06567119591276e-05,0.00140420328532748,0.00151976556986348
"5140","2020/08/31","MR",4525698,137,1,7022,159,6075,7015,0.00155158386617932,3.02715735782635e-05,0.00134233437582446,0.00155003714344174
"5139","2020/09/07","MR",4525698,112,1,7134,160,5351,7126,0.00157633142998052,2.47475638012081e-05,0.00118235905268093,0.00157456374685187
"5138","2020/09/14","MR",4525698,142,1,7276,161,4463,7268,0.0016077078055142,3.13763755336746e-05,0.000986146225399927,0.00160594012238554
"5137","2020/09/21","MR",4525698,92,0,7368,161,3461,7306,0.00162803616149376,2.03283559795638e-05,0.000764743913535547,0.00161433661724667
"5136","2020/09/28","MR",4525698,94,0,7462,161,2583,7225,0.00164880643825549,2.07702767617282e-05,0.000570740690165362,0.00159643882556901
"5135","2020/10/05","MR",4525698,58,0,7520,161,2394,6990,0.00166162214093826,1.28157026827685e-05,0.000528979176250824,0.00154451313366469
"5134","2020/10/12","MR",4525698,30,2,7550,163,1677,6603,0.00166825095267073,6.62881173246646e-06,0.000370550575844875,0.00145900146231587
"5133","2020/10/19","MR",4525698,53,0,7603,163,1432,5820,0.00167996185339808,1.17109007273574e-05,0.000316415280029732,0.00128598947609849
"5132","2020/10/26","MR",4525698,59,0,7662,163,1352,4849,0.00169299851647193,1.30366630738507e-05,0.000298738448743155,0.00107143693635766
"5131","2020/11/02","MR",4525698,55,0,7717,163,1219,3810,0.00170515133798146,1.21528215095218e-05,0.000269350716729221,0.000841859090023241
"5130","2020/11/09","MR",4525698,89,2,7806,165,1105,2927,0.00172481681278777,1.96654748063172e-05,0.000244161232145848,0.000646751064697644
"5129","2020/11/16","MR",4525698,79,0,7885,165,1000,2759,0.00174227268368327,1.7455870895495e-05,0.000220960391082215,0.000609629718995832
"5128","2020/11/23","MR",4525698,211,4,8096,169,1074,2223,0.00178889532620162,4.66226425183474e-05,0.000237311460022299,0.000491194949375765
"5127","2020/11/30","MR",4525698,453,6,8549,175,1415,2378,0.00188899038336186,0.000100095057160244,0.000312658953381335,0.000525443809993508
"5126","2020/12/07","MR",4525698,161,2,8710,177,1434,2400,0.0019245650063261,3.55746229642367e-05,0.000316857200811897,0.000530304938597317
