"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"27124","2020/03/25","LA",7169456,2,0,2,0,2,2,2.78961193150498e-07,2.78961193150498e-07,2.78961193150498e-07,2.78961193150498e-07
"27123","2020/03/26","LA",7169456,0,0,2,0,2,2,2.78961193150498e-07,0,2.78961193150498e-07,2.78961193150498e-07
"27122","2020/03/27","LA",7169456,4,0,6,0,6,6,8.36883579451495e-07,5.57922386300997e-07,8.36883579451495e-07,8.36883579451495e-07
"27121","2020/03/28","LA",7169456,0,0,6,0,6,6,8.36883579451495e-07,0,8.36883579451495e-07,8.36883579451495e-07
"27120","2020/03/29","LA",7169456,0,0,6,0,6,6,8.36883579451495e-07,0,8.36883579451495e-07,8.36883579451495e-07
"27119","2020/03/30","LA",7169456,0,0,6,0,6,6,8.36883579451495e-07,0,8.36883579451495e-07,8.36883579451495e-07
"27118","2020/03/31","LA",7169456,3,0,9,0,9,9,1.25532536917724e-06,4.18441789725748e-07,1.25532536917724e-06,1.25532536917724e-06
"27117","2020/04/01","LA",7169456,0,0,9,0,9,9,1.25532536917724e-06,0,1.25532536917724e-06,1.25532536917724e-06
"27116","2020/04/02","LA",7169456,1,0,10,0,10,10,1.39480596575249e-06,1.39480596575249e-07,1.39480596575249e-06,1.39480596575249e-06
"27115","2020/04/03","LA",7169456,0,0,10,0,10,10,1.39480596575249e-06,0,1.39480596575249e-06,1.39480596575249e-06
"27114","2020/04/04","LA",7169456,0,0,10,0,10,10,1.39480596575249e-06,0,1.39480596575249e-06,1.39480596575249e-06
"27113","2020/04/05","LA",7169456,0,0,10,0,10,10,1.39480596575249e-06,0,1.39480596575249e-06,1.39480596575249e-06
"27112","2020/04/06","LA",7169456,1,0,11,0,9,11,1.53428656232774e-06,1.39480596575249e-07,1.25532536917724e-06,1.53428656232774e-06
"27111","2020/04/07","LA",7169456,1,0,12,0,10,12,1.67376715890299e-06,1.39480596575249e-07,1.39480596575249e-06,1.67376715890299e-06
"27110","2020/04/08","LA",7169456,0,0,12,0,6,12,1.67376715890299e-06,0,8.36883579451495e-07,1.67376715890299e-06
"27109","2020/04/09","LA",7169456,3,0,15,0,9,15,2.09220894862874e-06,4.18441789725748e-07,1.25532536917724e-06,2.09220894862874e-06
"27108","2020/04/10","LA",7169456,1,0,16,0,10,16,2.23168954520399e-06,1.39480596575249e-07,1.39480596575249e-06,2.23168954520399e-06
"27107","2020/04/11","LA",7169456,0,0,16,0,10,16,2.23168954520399e-06,0,1.39480596575249e-06,2.23168954520399e-06
"27106","2020/04/12","LA",7169456,2,0,18,0,9,16,2.51065073835449e-06,2.78961193150498e-07,1.25532536917724e-06,2.23168954520399e-06
"27105","2020/04/13","LA",7169456,1,0,19,0,10,17,2.65013133492974e-06,1.39480596575249e-07,1.39480596575249e-06,2.37117014177924e-06
"27104","2020/04/14","LA",7169456,0,0,19,0,9,13,2.65013133492974e-06,0,1.25532536917724e-06,1.81324775547824e-06
"27103","2020/04/15","LA",7169456,0,0,19,0,9,13,2.65013133492974e-06,0,1.25532536917724e-06,1.81324775547824e-06
"27102","2020/04/16","LA",7169456,0,0,19,0,9,13,2.65013133492974e-06,0,1.25532536917724e-06,1.81324775547824e-06
"27101","2020/04/17","LA",7169456,0,0,19,0,9,13,2.65013133492974e-06,0,1.25532536917724e-06,1.81324775547824e-06
"27100","2020/04/18","LA",7169456,0,0,19,0,8,10,2.65013133492974e-06,0,1.11584477260199e-06,1.39480596575249e-06
"27099","2020/04/19","LA",7169456,0,0,19,0,7,10,2.65013133492974e-06,0,9.76364176026745e-07,1.39480596575249e-06
"27098","2020/04/20","LA",7169456,0,0,19,0,7,9,2.65013133492974e-06,0,9.76364176026745e-07,1.25532536917724e-06
"27097","2020/04/21","LA",7169456,0,0,19,0,4,9,2.65013133492974e-06,0,5.57922386300997e-07,1.25532536917724e-06
"27096","2020/04/22","LA",7169456,0,0,19,0,3,9,2.65013133492974e-06,0,4.18441789725748e-07,1.25532536917724e-06
"27095","2020/04/23","LA",7169456,0,0,19,0,3,9,2.65013133492974e-06,0,4.18441789725748e-07,1.25532536917724e-06
"27094","2020/04/24","LA",7169456,0,0,19,0,1,8,2.65013133492974e-06,0,1.39480596575249e-07,1.11584477260199e-06
"27093","2020/04/25","LA",7169456,0,0,19,0,0,7,2.65013133492974e-06,0,0,9.76364176026745e-07
"27092","2020/04/26","LA",7169456,0,0,19,0,0,7,2.65013133492974e-06,0,0,9.76364176026745e-07
"27091","2020/04/27","LA",7169456,0,0,19,0,0,4,2.65013133492974e-06,0,0,5.57922386300997e-07
"27090","2020/04/28","LA",7169456,0,0,19,0,0,3,2.65013133492974e-06,0,0,4.18441789725748e-07
"27089","2020/04/29","LA",7169456,0,0,19,0,0,3,2.65013133492974e-06,0,0,4.18441789725748e-07
"27088","2020/04/30","LA",7169456,0,0,19,0,0,1,2.65013133492974e-06,0,0,1.39480596575249e-07
"27087","2020/05/01","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27086","2020/05/02","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27085","2020/05/03","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27084","2020/05/04","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27083","2020/05/05","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27082","2020/05/06","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27081","2020/05/07","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27080","2020/05/08","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27079","2020/05/09","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27078","2020/05/10","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
"27077","2020/05/11","LA",7169456,0,0,19,0,0,0,2.65013133492974e-06,0,0,0
