"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2020/03/03",1,0,1,0,1,1,1,1.31273218950602e-05,1.31273218950602e-05,1.31273218950602e-05,1.31273218950602e-05,1.31273218950602e-05,76177
"2","2020/03/14",1,0,2,0,2,2,2,2.62546437901204e-05,1.31273218950602e-05,2.62546437901204e-05,2.62546437901204e-05,2.62546437901204e-05,76177
"3","2020/03/16",3,0,5,0,5,5,5,6.56366094753009e-05,3.93819656851806e-05,6.56366094753009e-05,6.56366094753009e-05,6.56366094753009e-05,76177
"4","2020/03/17",9,0,14,0,14,14,14,0.000183782506530843,0.000118145897055542,0.000183782506530843,0.000183782506530843,0.000183782506530843,76177
"5","2020/03/18",0,0,14,0,14,14,14,0.000183782506530843,0,0.000183782506530843,0.000183782506530843,0.000183782506530843,76177
"6","2020/03/19",39,0,53,0,53,53,53,0.00069574806043819,0.000511965553907347,0.00069574806043819,0.00069574806043819,0.00069574806043819,76177
"7","2020/03/20",22,0,75,0,75,75,75,0.000984549142129514,0.000288801081691324,0.000984549142129514,0.000984549142129514,0.000984549142129514,76177
"8","2020/03/21",0,0,75,0,75,75,75,0.000984549142129514,0,0.000984549142129514,0.000984549142129514,0.000984549142129514,76177
"9","2020/03/22",13,0,88,0,88,88,88,0.0011552043267653,0.000170655184635782,0.0011552043267653,0.0011552043267653,0.0011552043267653,76177
"10","2020/03/23",25,0,113,0,113,113,113,0.0014833873741418,0.000328183047376505,0.0014833873741418,0.0014833873741418,0.0014833873741418,76177
"11","2020/03/24",20,0,133,0,133,133,133,0.00174593381204301,0.000262546437901204,0.00174593381204301,0.00174593381204301,0.00174593381204301,76177
"12","2020/03/25",31,0,164,0,164,164,164,0.00215288079078987,0.000406946978746866,0.00215288079078987,0.00215288079078987,0.00215288079078987,76177
"13","2020/03/26",24,0,188,0,187,187,188,0.00246793651627132,0.000315055725481445,0.00245480919437626,0.00245480919437626,0.00246793651627132,76177
"14","2020/03/27",36,3,224,3,222,222,224,0.00294052010449348,0.000472583588222167,0.00291426546070336,0.00291426546070336,0.00294052010449348,76177
"15","2020/03/28",43,0,267,3,262,262,267,0.00350499494598107,0.000564474841487588,0.00343935833650577,0.00343935833650577,0.00350499494598107,76177
"16","2020/03/29",41,1,308,4,294,294,308,0.00404321514367854,0.000538220197697468,0.0038594326371477,0.0038594326371477,0.00404321514367854,76177
"17","2020/03/30",26,2,334,6,320,320,334,0.0043845255129501,0.000341310369271565,0.00420074300641926,0.00420074300641926,0.0043845255129501,76177
"18","2020/03/31",36,2,370,8,317,317,370,0.00485710910117227,0.000472583588222167,0.00416136104073408,0.00416136104073408,0.00485710910117227,76177
"19","2020/04/01",6,4,376,12,301,301,375,0.00493587303254263,7.87639313703611e-05,0.00395132389041312,0.00395132389041312,0.00492274571064757,76177
"20","2020/04/02",14,2,390,14,315,315,388,0.00511965553907347,0.000183782506530843,0.00413510639694396,0.00413510639694396,0.00509340089528335,76177
"21","2020/04/03",38,1,428,15,340,340,423,0.00561849377108576,0.000498838232012287,0.00446328944432046,0.00446328944432046,0.00555285716161046,76177
"22","2020/04/04",11,1,439,16,326,326,425,0.00576289431193142,0.000144400540845662,0.00427950693778962,0.00427950693778962,0.00557911180540058,76177
"23","2020/04/05",27,1,466,17,333,333,452,0.00611733200309805,0.000354437691166625,0.00437139819105504,0.00437139819105504,0.00593354949656721,76177
"24","2020/04/06",35,1,501,18,337,337,448,0.00657678826942516,0.000459456266327107,0.00442390747863528,0.00442390747863528,0.00588104020898696,76177
"25","2020/04/07",25,3,526,21,338,338,451,0.00690497131680166,0.000328183047376505,0.00443703480053034,0.00443703480053034,0.00592042217467215,76177
"26","2020/04/08",19,1,545,22,321,321,470,0.0071543904328078,0.000249419116006144,0.00421387032831432,0.00421387032831432,0.00616984129067829,76177
"27","2020/04/09",19,1,564,23,297,297,476,0.00740380954881395,0.000249419116006144,0.00389881460283288,0.00389881460283288,0.00624860522204865,76177
"28","2020/04/10",19,2,583,25,275,275,470,0.00765322866482009,0.000249419116006144,0.00361001352114155,0.00361001352114155,0.00616984129067829,76177
"29","2020/04/11",18,1,601,26,267,267,468,0.00788952045893117,0.000236291794111083,0.00350499494598107,0.00350499494598107,0.00614358664688817,76177
"30","2020/04/12",21,2,622,28,252,252,458,0.00816519421872744,0.000275673759796264,0.00330808511755517,0.00330808511755517,0.00601231342793757,76177
"31","2020/04/13",16,1,638,29,262,262,450,0.0083752313690484,0.000210037150320963,0.00343935833650577,0.00343935833650577,0.00590729485277708,76177
"32","2020/04/14",8,0,646,29,256,256,422,0.00848024994420888,0.000105018575160482,0.00336059440513541,0.00336059440513541,0.0055397298397154,76177
"33","2020/04/15",13,2,659,31,231,231,392,0.00865090512884466,0.000170655184635782,0.0030324113577589,0.0030324113577589,0.00514591018286359,76177
"34","2020/04/16",14,2,673,33,234,234,365,0.00883468763537551,0.000183782506530843,0.00307179332344408,0.00307179332344408,0.00479147249169697,76177
"35","2020/04/17",9,0,682,33,216,216,348,0.00895283353243105,0.000118145897055542,0.002835501529333,0.002835501529333,0.00456830801948095,76177
"36","2020/04/18",14,2,696,35,195,195,326,0.00913661603896189,0.000183782506530843,0.00255982776953674,0.00255982776953674,0.00427950693778962,76177
"37","2020/04/19",8,0,704,35,178,178,328,0.00924163461412237,0.000105018575160482,0.00233666329732071,0.00233666329732071,0.00430576158157974,76177
"38","2020/04/20",9,1,713,36,168,168,323,0.00935978051117791,0.000118145897055542,0.00220539007837011,0.00220539007837011,0.00424012497210444,76177
"39","2020/04/21",4,0,717,36,153,153,289,0.00941228979875816,5.25092875802408e-05,0.00200848024994421,0.00200848024994421,0.00379379602767239,76177
"40","2020/04/22",0,1,717,37,134,134,278,0.00941228979875816,0,0.00175906113393807,0.00175906113393807,0.00364939548682673,76177
"41","2020/04/23",6,0,723,37,122,122,257,0.00949105373012852,7.87639313703611e-05,0.00160153327119734,0.00160153327119734,0.00337372172703047,76177
"42","2020/04/24",1,0,724,37,102,102,223,0.00950418105202358,1.31273218950602e-05,0.00133898683329614,0.00133898683329614,0.00292739278259842,76177
"43","2020/04/25",7,3,731,40,93,93,205,0.009596072305289,9.18912532654213e-05,0.0012208409362406,0.0012208409362406,0.00269110098848734,76177
"44","2020/04/26",2,0,733,40,87,87,188,0.00962232694907912,2.62546437901204e-05,0.00114207700487024,0.00114207700487024,0.00246793651627132,76177
"45","2020/04/27",7,0,740,40,81,81,176,0.00971421820234454,9.18912532654213e-05,0.00106331307349988,0.00106331307349988,0.00231040865353059,76177
"46","2020/04/28",3,0,743,40,70,70,160,0.00975360016802972,3.93819656851806e-05,0.000918912532654213,0.000918912532654213,0.00210037150320963,76177
"47","2020/04/29",0,1,743,41,61,61,142,0.00975360016802972,0,0.000800766635598672,0.000800766635598672,0.00186407970909855,76177
"48","2020/04/30",0,1,743,42,47,47,121,0.00975360016802972,0,0.000616984129067829,0.000616984129067829,0.00158840594930228,76177
"49","2020/05/01",2,0,745,42,41,41,107,0.00977985481181984,2.62546437901204e-05,0.000538220197697468,0.000538220197697468,0.00140462344277144,76177
"50","2020/05/02",1,1,746,43,33,33,100,0.0097929821337149,1.31273218950602e-05,0.000433201622536986,0.000433201622536986,0.00131273218950602,76177
"51","2020/05/03",1,1,747,44,30,30,88,0.00980610945560996,1.31273218950602e-05,0.000393819656851806,0.000393819656851806,0.0011552043267653,76177
"52","2020/05/04",1,1,748,45,31,31,75,0.00981923677750502,1.31273218950602e-05,0.000406946978746866,0.000406946978746866,0.000984549142129514,76177
"53","2020/05/05",2,0,750,45,27,27,68,0.00984549142129514,2.62546437901204e-05,0.000354437691166625,0.000354437691166625,0.000892657888864093,76177
"54","2020/05/06",1,1,751,46,27,27,55,0.0098586187431902,1.31273218950602e-05,0.000354437691166625,0.000354437691166625,0.00072200270422831,76177
"55","2020/05/07",0,0,751,46,20,20,47,0.0098586187431902,0,0.000262546437901204,0.000262546437901204,0.000616984129067829,76177
"56","2020/05/08",1,1,752,47,19,19,39,0.00987174606508526,1.31273218950602e-05,0.000249419116006144,0.000249419116006144,0.000511965553907347,76177
"57","2020/05/09",0,0,752,47,12,12,35,0.00987174606508526,0,0.000157527862740722,0.000157527862740722,0.000459456266327107,76177
"58","2020/05/10",2,1,754,48,11,11,37,0.00989800070887538,2.62546437901204e-05,0.000144400540845662,0.000144400540845662,0.000485710910117227,76177
"59","2020/05/11",1,0,755,48,12,12,32,0.00991112803077044,1.31273218950602e-05,0.000157527862740722,0.000157527862740722,0.000420074300641926,76177
"60","2020/05/12",1,0,756,48,13,13,32,0.0099242553526655,1.31273218950602e-05,0.000170655184635782,0.000170655184635782,0.000420074300641926,76177
"61","2020/05/13",2,0,758,48,13,13,27,0.00995050999645562,2.62546437901204e-05,0.000170655184635782,0.000170655184635782,0.000354437691166625,76177
"62","2020/05/14",2,1,760,49,14,14,27,0.00997676464024574,2.62546437901204e-05,0.000183782506530843,0.000183782506530843,0.000354437691166625,76177
"63","2020/05/15",1,0,761,49,14,14,21,0.0099898919621408,1.31273218950602e-05,0.000183782506530843,0.000183782506530843,0.000275673759796264,76177
"64","2020/05/16",0,0,761,49,13,13,18,0.0099898919621408,0,0.000170655184635782,0.000170655184635782,0.000236291794111083,76177
"65","2020/05/17",0,2,761,51,11,11,18,0.0099898919621408,0,0.000144400540845662,0.000144400540845662,0.000236291794111083,76177
"66","2020/05/18",0,0,761,51,10,10,18,0.0099898919621408,0,0.000131273218950602,0.000131273218950602,0.000236291794111083,76177
"67","2020/05/19",0,0,761,51,10,10,16,0.0099898919621408,0,0.000131273218950602,0.000131273218950602,0.000210037150320963,76177
"68","2020/05/20",0,0,761,51,9,9,15,0.0099898919621408,0,0.000118145897055542,0.000118145897055542,0.000196909828425903,76177
"69","2020/05/21",1,0,762,51,10,10,15,0.0100030192840359,1.31273218950602e-05,0.000131273218950602,0.000131273218950602,0.000196909828425903,76177
"70","2020/05/22",0,0,762,51,8,8,14,0.0100030192840359,0,0.000105018575160482,0.000105018575160482,0.000183782506530843,76177
"71","2020/05/23",0,0,762,51,7,7,12,0.0100030192840359,0,9.18912532654213e-05,9.18912532654213e-05,0.000157527862740722,76177
"72","2020/05/24",0,0,762,51,6,6,11,0.0100030192840359,0,7.87639313703611e-05,7.87639313703611e-05,0.000144400540845662,76177
"73","2020/05/25",1,0,763,51,5,5,12,0.0100161466059309,1.31273218950602e-05,6.56366094753009e-05,6.56366094753009e-05,0.000157527862740722,76177
"74","2020/05/26",0,0,763,51,3,3,11,0.0100161466059309,0,3.93819656851806e-05,3.93819656851806e-05,0.000144400540845662,76177
