"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_infect","cases_symptom","p_cases","p_cases_daily","p_cases_active","p_infect","p_symptom","population"
"1","2020/01/01",0,0,0,0,0,0,0,0,0,0,0,0,97741
"2","2020/01/02",0,0,0,0,0,0,0,0,0,0,0,0,97741
"3","2020/01/03",0,0,0,0,0,0,0,0,0,0,0,0,97741
"4","2020/01/04",0,0,0,0,0,0,0,0,0,0,0,0,97741
"5","2020/01/05",0,0,0,0,0,0,0,0,0,0,0,0,97741
"6","2020/01/06",0,0,0,0,0,0,0,0,0,0,0,0,97741
"7","2020/01/07",0,0,0,0,0,0,0,0,0,0,0,0,97741
"8","2020/01/08",0,0,0,0,0,0,0,0,0,0,0,0,97741
"9","2020/01/09",0,0,0,0,0,0,0,0,0,0,0,0,97741
"10","2020/01/10",0,0,0,0,0,0,0,0,0,0,0,0,97741
"11","2020/01/11",0,0,0,0,0,0,0,0,0,0,0,0,97741
"12","2020/01/12",0,0,0,0,0,0,0,0,0,0,0,0,97741
"13","2020/01/13",0,0,0,0,0,0,0,0,0,0,0,0,97741
"14","2020/01/14",0,0,0,0,0,0,0,0,0,0,0,0,97741
"15","2020/01/15",0,0,0,0,0,0,0,0,0,0,0,0,97741
"16","2020/01/16",0,0,0,0,0,0,0,0,0,0,0,0,97741
"17","2020/01/17",0,0,0,0,0,0,0,0,0,0,0,0,97741
"18","2020/01/18",0,0,0,0,0,0,0,0,0,0,0,0,97741
"19","2020/01/19",0,0,0,0,0,0,0,0,0,0,0,0,97741
"20","2020/01/20",0,0,0,0,0,0,0,0,0,0,0,0,97741
"21","2020/01/21",0,0,0,0,0,0,0,0,0,0,0,0,97741
"22","2020/01/22",0,0,0,0,0,0,0,0,0,0,0,0,97741
"23","2020/01/23",0,0,0,0,0,0,0,0,0,0,0,0,97741
"24","2020/01/24",0,0,0,0,0,0,0,0,0,0,0,0,97741
"25","2020/01/25",0,0,0,0,0,0,0,0,0,0,0,0,97741
"26","2020/01/26",0,0,0,0,0,0,0,0,0,0,0,0,97741
"27","2020/01/27",0,0,0,0,0,0,0,0,0,0,0,0,97741
"28","2020/01/28",0,0,0,0,0,0,0,0,0,0,0,0,97741
"29","2020/01/29",0,0,0,0,0,0,0,0,0,0,0,0,97741
"30","2020/01/30",0,0,0,0,0,0,0,0,0,0,0,0,97741
"31","2020/01/31",0,0,0,0,0,0,0,0,0,0,0,0,97741
"32","2020/02/01",0,0,0,0,0,0,0,0,0,0,0,0,97741
"33","2020/02/02",0,0,0,0,0,0,0,0,0,0,0,0,97741
"34","2020/02/03",0,0,0,0,0,0,0,0,0,0,0,0,97741
"35","2020/02/04",0,0,0,0,0,0,0,0,0,0,0,0,97741
