"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"45735","2020/03/13","TT",1394969,1,0,1,0,1,1,7.1686180839861e-07,7.1686180839861e-07,7.1686180839861e-07,7.1686180839861e-07
"45734","2020/03/14","TT",1394969,1,0,2,0,2,2,1.43372361679722e-06,7.1686180839861e-07,1.43372361679722e-06,1.43372361679722e-06
"45733","2020/03/15","TT",1394969,0,0,2,0,2,2,1.43372361679722e-06,0,1.43372361679722e-06,1.43372361679722e-06
"45732","2020/03/16","TT",1394969,2,0,4,0,4,4,2.86744723359444e-06,1.43372361679722e-06,2.86744723359444e-06,2.86744723359444e-06
"45731","2020/03/17","TT",1394969,1,0,5,0,5,5,3.58430904199305e-06,7.1686180839861e-07,3.58430904199305e-06,3.58430904199305e-06
"45730","2020/03/18","TT",1394969,2,0,7,0,7,7,5.01803265879027e-06,1.43372361679722e-06,5.01803265879027e-06,5.01803265879027e-06
"45729","2020/03/19","TT",1394969,2,0,9,0,9,9,6.45175627558749e-06,1.43372361679722e-06,6.45175627558749e-06,6.45175627558749e-06
"45728","2020/03/20","TT",1394969,0,0,9,0,9,9,6.45175627558749e-06,0,6.45175627558749e-06,6.45175627558749e-06
"45727","2020/03/21","TT",1394969,0,0,9,0,9,9,6.45175627558749e-06,0,6.45175627558749e-06,6.45175627558749e-06
"45726","2020/03/22","TT",1394969,40,0,49,0,49,49,3.51262286115319e-05,2.86744723359444e-05,3.51262286115319e-05,3.51262286115319e-05
"45725","2020/03/23","TT",1394969,1,0,50,0,50,50,3.58430904199305e-05,7.1686180839861e-07,3.58430904199305e-05,3.58430904199305e-05
"45724","2020/03/24","TT",1394969,1,0,51,0,51,51,3.65599522283291e-05,7.1686180839861e-07,3.65599522283291e-05,3.65599522283291e-05
"45723","2020/03/25","TT",1394969,6,0,57,0,56,57,4.08611230787207e-05,4.30117085039166e-06,4.01442612703221e-05,4.08611230787207e-05
"45722","2020/03/26","TT",1394969,3,1,60,1,58,60,4.30117085039166e-05,2.15058542519583e-06,4.15779848871194e-05,4.30117085039166e-05
"45721","2020/03/27","TT",1394969,5,0,65,1,63,65,4.65960175459096e-05,3.58430904199305e-06,4.51622939291124e-05,4.65960175459096e-05
"45720","2020/03/28","TT",1394969,1,1,66,2,62,66,4.73128793543082e-05,7.1686180839861e-07,4.44454321207138e-05,4.73128793543082e-05
"45719","2020/03/29","TT",1394969,8,0,74,2,69,74,5.30477738214971e-05,5.73489446718888e-06,4.94634647795041e-05,5.30477738214971e-05
"45718","2020/03/30","TT",1394969,4,1,78,3,71,78,5.59152210550915e-05,2.86744723359444e-06,5.08971883963013e-05,5.59152210550915e-05
"45717","2020/03/31","TT",1394969,7,0,85,3,76,84,6.09332537138818e-05,5.01803265879027e-06,5.44814974382943e-05,6.02163919054832e-05
"45716","2020/04/01","TT",1394969,2,0,87,3,78,85,6.2366977330679e-05,1.43372361679722e-06,5.59152210550915e-05,6.09332537138818e-05
"45715","2020/04/02","TT",1394969,2,2,89,5,80,87,6.38007009474763e-05,1.43372361679722e-06,5.73489446718888e-05,6.2366977330679e-05
"45714","2020/04/03","TT",1394969,8,1,97,6,48,93,6.95355954146651e-05,5.73489446718888e-06,3.44093668031333e-05,6.66681481810707e-05
"45713","2020/04/04","TT",1394969,3,0,100,6,50,95,7.1686180839861e-05,2.15058542519583e-06,3.58430904199305e-05,6.81018717978679e-05
"45712","2020/04/05","TT",1394969,3,0,103,6,52,96,7.38367662650568e-05,2.15058542519583e-06,3.72768140367277e-05,6.88187336062665e-05
"45711","2020/04/06","TT",1394969,1,1,104,7,47,95,7.45536280734554e-05,7.1686180839861e-07,3.36925049947347e-05,6.81018717978679e-05
"45710","2020/04/07","TT",1394969,1,1,105,8,45,96,7.5270489881854e-05,7.1686180839861e-07,3.22587813779374e-05,6.88187336062665e-05
"45709","2020/04/08","TT",1394969,2,0,107,8,42,98,7.67042134986512e-05,1.43372361679722e-06,3.01081959527416e-05,7.02524572230637e-05
"45708","2020/04/09","TT",1394969,0,0,107,8,41,58,7.67042134986512e-05,0,2.9391334144343e-05,4.15779848871194e-05
"45707","2020/04/10","TT",1394969,2,0,109,8,35,59,7.81379371154484e-05,1.43372361679722e-06,2.50901632939513e-05,4.2294846695518e-05
"45706","2020/04/11","TT",1394969,0,0,109,8,31,58,7.81379371154484e-05,0,2.22227160603569e-05,4.15779848871194e-05
"45705","2020/04/12","TT",1394969,3,0,112,8,27,55,8.02885225406443e-05,2.15058542519583e-06,1.93552688267625e-05,3.94273994619235e-05
"45704","2020/04/13","TT",1394969,1,0,113,8,26,53,8.10053843490429e-05,7.1686180839861e-07,1.86384070183639e-05,3.79936758451263e-05
"45703","2020/04/14","TT",1394969,0,0,113,8,24,48,8.10053843490429e-05,0,1.72046834015666e-05,3.44093668031333e-05
"45702","2020/04/15","TT",1394969,0,0,113,8,16,47,8.10053843490429e-05,0,1.14697889343778e-05,3.36925049947347e-05
"45701","2020/04/16","TT",1394969,1,0,114,8,14,40,8.17222461574415e-05,7.1686180839861e-07,1.00360653175805e-05,2.86744723359444e-05
"45700","2020/04/17","TT",1394969,0,0,114,8,11,36,8.17222461574415e-05,0,7.88547989238471e-06,2.58070251023499e-05
"45699","2020/04/18","TT",1394969,0,0,114,8,10,29,8.17222461574415e-05,0,7.1686180839861e-06,2.07889924435597e-05
