"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"31323","2020/03/05","LI",38378,1,0,1,0,1,1,2.60565949241753e-05,2.60565949241753e-05,2.60565949241753e-05,2.60565949241753e-05
"31322","2020/03/12","LI",38378,2,0,3,0,3,3,7.81697847725259e-05,5.21131898483506e-05,7.81697847725259e-05,7.81697847725259e-05
"31321","2020/03/13","LI",38378,1,0,4,0,4,4,0.000104226379696701,2.60565949241753e-05,0.000104226379696701,0.000104226379696701
"31320","2020/03/14","LI",38378,0,0,4,0,4,4,0.000104226379696701,0,0.000104226379696701,0.000104226379696701
"31319","2020/03/15","LI",38378,0,0,4,0,4,4,0.000104226379696701,0,0.000104226379696701,0.000104226379696701
"31318","2020/03/16","LI",38378,3,0,7,0,7,7,0.000182396164469227,7.81697847725259e-05,0.000182396164469227,0.000182396164469227
"31317","2020/03/17","LI",38378,0,0,7,0,7,7,0.000182396164469227,0,0.000182396164469227,0.000182396164469227
"31316","2020/03/18","LI",38378,0,0,7,0,7,7,0.000182396164469227,0,0.000182396164469227,0.000182396164469227
"31315","2020/03/19","LI",38378,18,0,25,0,25,25,0.000651414873104383,0.000469018708635156,0.000651414873104383,0.000651414873104383
"31314","2020/03/20","LI",38378,0,0,25,0,25,25,0.000651414873104383,0,0.000651414873104383,0.000651414873104383
"31313","2020/03/21","LI",38378,9,0,34,0,34,34,0.00088592422742196,0.000234509354317578,0.00088592422742196,0.00088592422742196
"31312","2020/03/22","LI",38378,2,0,36,0,36,36,0.000938037417270311,5.21131898483506e-05,0.000938037417270311,0.000938037417270311
"31311","2020/03/23","LI",38378,10,0,46,0,45,46,0.00119860336651206,0.000260565949241753,0.00117254677158789,0.00119860336651206
"31310","2020/03/24","LI",38378,0,0,46,0,43,46,0.00119860336651206,0,0.00112043358173954,0.00119860336651206
"31309","2020/03/25","LI",38378,1,0,47,0,43,47,0.00122465996143624,2.60565949241753e-05,0.00112043358173954,0.00122465996143624
"31308","2020/03/26","LI",38378,4,0,51,0,47,51,0.00132888634113294,0.000104226379696701,0.00122465996143624,0.00132888634113294
"31307","2020/03/27","LI",38378,5,0,56,0,52,56,0.00145916931575382,0.000130282974620877,0.00135494293605712,0.00145916931575382
"31306","2020/03/28","LI",38378,4,0,60,0,53,60,0.00156339569545052,0.000104226379696701,0.00138099953098129,0.00156339569545052
"31305","2020/03/29","LI",38378,1,0,61,0,54,60,0.00158945229037469,2.60565949241753e-05,0.00140705612590547,0.00156339569545052
"31304","2020/03/30","LI",38378,1,0,62,0,55,59,0.00161550888529887,2.60565949241753e-05,0.00143311272082964,0.00153733910052634
"31303","2020/03/31","LI",38378,2,0,64,0,39,60,0.00166762207514722,5.21131898483506e-05,0.00101620720204284,0.00156339569545052
"31302","2020/04/01","LI",38378,4,0,68,0,43,64,0.00177184845484392,0.000104226379696701,0.00112043358173954,0.00166762207514722
"31301","2020/04/02","LI",38378,4,0,72,0,38,68,0.00187607483454062,0.000104226379696701,0.000990150607118662,0.00177184845484392
"31300","2020/04/03","LI",38378,3,0,75,0,39,68,0.00195424461931315,7.81697847725259e-05,0.00101620720204284,0.00177184845484392
"31299","2020/04/04","LI",38378,0,0,75,0,29,68,0.00195424461931315,0,0.000755641252801084,0.00177184845484392
"31298","2020/04/05","LI",38378,2,1,77,1,31,70,0.0020063578091615,5.21131898483506e-05,0.000807754442649435,0.00182396164469227
"31297","2020/04/06","LI",38378,1,0,78,1,31,53,0.00203241440408567,2.60565949241753e-05,0.000807754442649435,0.00138099953098129
"31296","2020/04/07","LI",38378,0,0,78,1,27,53,0.00203241440408567,0,0.000703528062952733,0.00138099953098129
"31295","2020/04/08","LI",38378,0,0,78,1,22,44,0.00203241440408567,0,0.000573245088331857,0.00114649017666371
"31294","2020/04/09","LI",38378,1,0,79,1,19,43,0.00205847099900985,2.60565949241753e-05,0.000495075303559331,0.00112043358173954
"31293","2020/04/10","LI",38378,0,0,79,1,18,33,0.00205847099900985,0,0.000469018708635156,0.000859867632497785
"31292","2020/04/11","LI",38378,1,0,80,1,18,34,0.00208452759393402,2.60565949241753e-05,0.000469018708635156,0.00088592422742196
"31291","2020/04/12","LI",38378,0,0,80,1,16,33,0.00208452759393402,0,0.000416905518786805,0.000859867632497785
"31290","2020/04/13","LI",38378,0,0,80,1,12,29,0.00208452759393402,0,0.000312679139090104,0.000755641252801084
"31289","2020/04/14","LI",38378,1,0,81,1,9,25,0.0021105841888582,2.60565949241753e-05,0.000234509354317578,0.000651414873104383
"31288","2020/04/15","LI",38378,0,0,81,1,6,21,0.0021105841888582,0,0.000156339569545052,0.000547188493407681
"31287","2020/04/16","LI",38378,0,0,81,1,6,20,0.0021105841888582,0,0.000156339569545052,0.000521131898483506
"31286","2020/04/17","LI",38378,0,0,81,1,4,19,0.0021105841888582,0,0.000104226379696701,0.000495075303559331
"31285","2020/04/18","LI",38378,0,0,81,1,3,17,0.0021105841888582,0,7.81697847725259e-05,0.00044296211371098
"31284","2020/04/19","LI",38378,1,0,82,1,4,14,0.00213664078378238,2.60565949241753e-05,0.000104226379696701,0.000364792328938454
"31283","2020/04/20","LI",38378,0,0,82,1,4,10,0.00213664078378238,0,0.000104226379696701,0.000260565949241753
"31282","2020/04/21","LI",38378,0,0,82,1,3,7,0.00213664078378238,0,7.81697847725259e-05,0.000182396164469227
"31281","2020/04/22","LI",38378,0,0,82,1,3,7,0.00213664078378238,0,7.81697847725259e-05,0.000182396164469227
