"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRMA",6904241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRMG",20869101,0.0146541617819461,0.0163878205128205,0.00365408038976857,0.00254545454545455,0.00304506699147381,0.00218181818181818,1706,13,0.0146541617819461,0.0163878205128205,0.00365408038976857,0.00254545454545455,0.00304506699147381,0.00218181818181818
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRMS",2651235,0.1,0.1,0,0,0,0,10,1,0.1,0.1,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRMT",3265486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRPA",8175113,0.176,0.208666666666667,0.024,0.0176666666666667,0.022,0.037,500,3,0.176,0.208666666666667,0.024,0.0176666666666667,0.022,0.037
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRPB",3972202,0.0133333333333333,0.0133333333333333,0,0,0,0,150,1,0.0133333333333333,0.0133333333333333,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRPE",9345173,0.104477611940299,0.07,0.0480769230769231,0.0333333333333333,0.0149253731343284,0.01,134,4,0.104477611940299,0.07,0.0480769230769231,0.0333333333333333,0.0149253731343284,0.01
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRPI",3204028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRPR",11163018,0.0355140186915888,0.0730612244897959,0.00188679245283019,0.0021978021978022,0.00188679245283019,0.000512820512820513,535,14,0.0355140186915888,0.0730612244897959,0.00188679245283019,0.0021978021978022,0.00188679245283019,0.000512820512820513
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRRJ",16550024,0.110714285714286,0.0855228758169935,0.00714285714285714,0.00333333333333333,0.00714285714285714,0.00333333333333333,280,6,0.110714285714286,0.0855228758169935,0.00714285714285714,0.00333333333333333,0.00714285714285714,0.00333333333333333
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRRN",3442175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRRO",1768204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRRR",505665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRRS",11247972,0.0142857142857143,0.0121428571428571,0,0,0,0,490,7,0.0142857142857143,0.0121428571428571,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRSC",6819190,0,0,0,0,0,0,90,1,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRSE",2242937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRSP",44396484,0.0158343483556638,0.0411078107810781,0.00163733115022513,0.00528735632183908,0.00122799836266885,0.00517241379310345,2463,30,0.0158343483556638,0.0411078107810781,0.00163733115022513,0.00528735632183908,0.00122799836266885,0.00517241379310345
"BR",2020-06-03,204453710,0.0045045045045045,0,0,222,8,0.0407006110302783,6996,0.00490744350461306,0.0030129207096759,6996,0.0395873475710484,0.00475650800197742,0.00475650800197742,"BRTO",1515126,0.18,0.18,0.04,0.04,0.02,0.02,50,1,0.18,0.18,0.04,0.04,0.02,0.02
