"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","UA","UA05",1604270,0,0,180,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"2","UA","UA07",1042855,0,0,106,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"3","UA","UA09",2263676,0,0,285,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"4","UA","UA12",3258705,0.0027027027027027,0.0025,370,0.0027027027027027,0.0025,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"5","UA","UA14",4387702,0,0,670,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"6","UA","UA18",1249225,0.00966183574879227,0.005,207,0.00966183574879227,0.005,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"7","UA","UA21",1259497,0,0,201,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"8","UA","UA23",1755663,0,0,221,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"9","UA","UA26",1382721,0,0,301,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"10","UA","UA30",2900920,NA,NA,0,NA,NA,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"11","UA","UA32",1731673,0,0,375,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"12","UA","UA35",974724,0,0,140,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"13","UA","UA40",381685,NA,NA,0,NA,NA,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"14","UA","UA43",1963770,NA,NA,120,NA,NA,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"15","UA","UA46",2535476,0.0324324324324324,0.0171428571428571,370,0.0324324324324324,0.0171428571428571,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"16","UA","UA48",1159634,0,0,155,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"17","UA","UA51",2387282,0.012448132780083,0.0333333333333333,241,0.012448132780083,0.0333333333333333,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"18","UA","UA53",1440684,0.00666666666666667,0.005,150,0.00666666666666667,0.005,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"19","UA","UA56",1162049,0,0,130,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"20","UA","UA59",1115051,0,0,155,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"21","UA","UA61",1066523,0,0,204,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"22","UA","UA63",2720342,0.0241379310344828,0.04,290,0.0241379310344828,0.04,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"23","UA","UA65",1063803,0,0,131,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"24","UA","UA68",1296103,0,0,200,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"25","UA","UA71",1246166,0,0,300,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"26","UA","UA74",1047023,0,0,201,0,0,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
"27","UA","UA77",910001,NA,NA,0,NA,NA,45307223,0.00939480008739349,0.00971014492753623,4577,0.00531518417810626,0.00647371325130742,5583,0.00715301902228024,0.00793170023773452
