"date","region","regionname","population","sample_size","reach","sample_size_recent","reach_recent","cases_est","cases_low","cases_high","recentcases_est","recentcases_low","recentcases_high","fatalities_est","fatalities_low","fatalities_high","p_cases","p_cases_low","p_cases_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_stillsick","p_stillsick_low","p_stillsick_high"
"2020/03/15","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","ESBI","Provincia:Bizkaia",1152651,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
