"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/19","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","US",329064917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","US",329064917,1,0,1,0,0,0,0,0,3.03891405111411e-09,0,0,0,0,0
"2020/01/25","US",329064917,0,0,1,0,0,0,0,0,3.03891405111411e-09,0,0,0,0,0
"2020/01/26","US",329064917,3,0,4,0,0,0,0,0,1.21556562044565e-08,0,0,0,0,0
"2020/01/27","US",329064917,0,0,4,0,0,0,0,0,1.21556562044565e-08,0,0,0,0,0
"2020/01/28","US",329064917,0,0,4,0,0,0,0,0,1.21556562044565e-08,0,0,0,0,0
"2020/01/29","US",329064917,1,0,5,0,0,0,0,0,1.51945702555706e-08,0,0,0,0,0
"2020/01/30","US",329064917,0,0,5,0,0,0,0,0,1.51945702555706e-08,0,0,0,0,0
"2020/01/31","US",329064917,2,0,7,0,0,0,0,0,2.12723983577988e-08,0,0,0,0,0
"2020/02/01","US",329064917,0,0,7,0,0,0,0,0,2.12723983577988e-08,0,0,0,0,0
"2020/02/02","US",329064917,0,0,7,0,0,0,0,0,2.12723983577988e-08,0,0,0,0,0
"2020/02/03","US",329064917,3,0,10,0,0,0,0,0,3.03891405111412e-08,0,0,0,0,0
"2020/02/04","US",329064917,0,0,10,0,0,0,0,0,3.03891405111412e-08,0,0,0,0,0
"2020/02/05","US",329064917,0,0,10,0,0,0,0,0,3.03891405111412e-08,0,0,0,0,0
"2020/02/06","US",329064917,1,0,11,0,0,0,0,0,3.34280545622553e-08,0,0,0,0,0
"2020/02/07","US",329064917,0,0,11,0,0,0,0,0,3.34280545622553e-08,0,0,0,0,0
"2020/02/08","US",329064917,0,0,11,0,0,0,0,0,3.34280545622553e-08,0,0,0,0,0
"2020/02/09","US",329064917,0,0,11,0,0,0,0,0,3.34280545622553e-08,0,0,0,0,0
"2020/02/10","US",329064917,0,0,11,0,0,0,0,0,3.34280545622553e-08,0,0,0,0,0
"2020/02/11","US",329064917,1,0,12,0,0,0,0,0,3.64669686133694e-08,0,0,0,0,0
"2020/02/12","US",329064917,0,0,12,0,0,0,0,0,3.64669686133694e-08,0,0,0,0,0
"2020/02/13","US",329064917,1,0,13,0,0,0,0,0,3.95058826644835e-08,0,0,0,0,0
"2020/02/14","US",329064917,0,0,13,0,0,0,0,0,3.95058826644835e-08,0,0,0,0,0
"2020/02/15","US",329064917,0,0,13,0,0,0,0,0,3.95058826644835e-08,0,0,0,0,0
"2020/02/16","US",329064917,0,0,13,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,3.95058826644835e-08,0,2.20211163124211e-07,2.20211163124211e-07,2.20211163124211e-07,2.20211163124211e-07
"2020/02/17","US",329064917,0,0,13,0,72.463768115942,0,72.463768115942,72.463768115942,3.95058826644835e-08,0,2.20211163124211e-07,0,2.20211163124211e-07,2.20211163124211e-07
"2020/02/18","US",329064917,0,0,13,0,434.782608695652,362.31884057971,434.782608695652,434.782608695652,3.95058826644835e-08,0,1.32126697874527e-06,1.10105581562106e-06,1.32126697874527e-06,1.32126697874527e-06
"2020/02/19","US",329064917,0,0,13,0,507.246376811594,72.463768115942,507.246376811594,507.246376811594,3.95058826644835e-08,0,1.54147814186948e-06,2.20211163124211e-07,1.54147814186948e-06,1.54147814186948e-06
"2020/02/20","US",329064917,0,0,13,0,797.101449275362,289.855072463768,797.101449275362,797.101449275362,3.95058826644835e-08,0,2.42232279436632e-06,8.80844652496845e-07,2.42232279436632e-06,2.42232279436632e-06
"2020/02/21","US",329064917,2,0,15,0,869.565217391304,72.463768115942,869.565217391304,869.565217391304,4.55837107667117e-08,0,2.64253395749053e-06,2.20211163124211e-07,2.64253395749053e-06,2.64253395749053e-06
"2020/02/22","US",329064917,0,0,15,0,1014.49275362319,144.927536231884,1014.49275362319,1014.49275362319,4.55837107667117e-08,0,3.08295628373896e-06,4.40422326248422e-07,3.08295628373896e-06,3.08295628373896e-06
"2020/02/23","US",329064917,0,0,15,0,1231.88405797101,217.391304347826,1231.88405797101,1231.88405797101,4.55837107667117e-08,0,3.74358977311159e-06,6.60633489372634e-07,3.74358977311159e-06,3.74358977311159e-06
"2020/02/24","US",329064917,0,0,15,0,1521.73913043478,289.855072463768,1521.73913043478,1521.73913043478,4.55837107667117e-08,0,4.62443442560844e-06,8.80844652496845e-07,4.62443442560844e-06,4.62443442560844e-06
"2020/02/25","US",329064917,0,0,15,0,1594.20289855072,72.463768115942,1594.20289855072,1594.20289855072,4.55837107667117e-08,0,4.84464558873265e-06,2.20211163124211e-07,4.84464558873265e-06,4.84464558873265e-06
"2020/02/26","US",329064917,0,0,15,0,2028.98550724638,434.782608695652,2028.98550724638,2028.98550724638,4.55837107667117e-08,0,6.16591256747791e-06,1.32126697874527e-06,6.16591256747791e-06,6.16591256747791e-06
"2020/02/27","US",329064917,1,0,16,0,2391.30434782609,362.31884057971,2391.30434782609,2391.30434782609,4.86226248178258e-08,0,7.26696838309897e-06,1.10105581562106e-06,7.26696838309897e-06,7.26696838309897e-06
"2020/02/28","US",329064917,0,0,16,0,3115.94202898551,724.63768115942,3043.47826086957,3115.94202898551,4.86226248178258e-08,0,9.46908001434108e-06,2.20211163124211e-06,9.24886885121687e-06,9.46908001434108e-06
"2020/02/29","US",329064917,8,1,24,1,3695.65217391304,579.710144927536,3623.1884057971,3695.65217391304,7.29339372267388e-08,3.03891405111411e-09,1.12307693193348e-05,1.76168930499369e-06,1.10105581562106e-05,1.12307693193348e-05
"2020/03/01","US",329064917,7,0,31,1,4202.89855072464,507.246376811594,3768.11594202899,4202.89855072464,9.42063355845376e-08,3.03891405111411e-09,1.27722474612043e-05,1.54147814186948e-06,1.1450980482459e-05,1.27722474612043e-05
"2020/03/02","US",329064917,23,5,54,6,5072.46376811594,869.565217391304,4565.21739130435,5072.46376811594,1.64101358760162e-07,1.82334843066847e-08,1.54147814186948e-05,2.64253395749053e-06,1.38733032768253e-05,1.54147814186948e-05
"2020/03/03","US",329064917,19,1,73,7,7028.98550724638,1956.52173913043,6231.88405797101,7028.98550724638,2.2184072573133e-07,2.12723983577988e-08,2.13604828230485e-05,5.9457014043537e-06,1.89381600286822e-05,2.13604828230485e-05
"2020/03/04","US",329064917,33,4,106,11,9637.68115942029,2608.69565217391,8768.11594202899,9637.68115942029,3.22124889418096e-07,3.34280545622553e-08,2.92880846955201e-05,7.9276018724716e-06,2.66455507380296e-05,2.92880846955201e-05
"2020/03/05","US",329064917,77,1,183,12,13913.0434782609,4275.36231884058,12898.5507246377,13840.5797101449,5.56121271353883e-07,3.64669686133694e-08,4.22805433198486e-05,1.29924586243285e-05,3.91975870361096e-05,4.20603321567243e-05
"2020/03/06","US",329064917,53,2,236,14,19130.4347826087,5217.39130434783,17898.5507246377,19057.9710144928,7.17183716062931e-07,4.25447967155976e-08,5.81357470647918e-05,1.58552037449432e-05,5.43921572916802e-05,5.79155359016675e-05
"2020/03/07","US",329064917,166,3,402,17,26594.2028985507,7463.76811594203,25072.4637681159,26159.4202898551,1.22164344854787e-06,5.166153886894e-08,8.08174968665855e-05,2.26817498017938e-05,7.61930624409771e-05,7.94962298878402e-05
"2020/03/08","US",329064917,116,4,518,21,33768.115942029,7173.91304347826,32173.9130434783,33260.8695652174,1.57415747847711e-06,6.38171950733964e-08,0.000102618402015882,2.18009051492969e-05,9.77737564271498e-05,0.000101076923874013
"2020/03/09","US",329064917,75,1,593,22,41739.1304347826,7971.01449275362,39710.1449275362,40942.0289855072,1.80207603231067e-06,6.68561091245105e-08,0.000126841629959546,2.42232279436632e-05,0.000120675717392068,0.000124419307165179
"2020/03/10","US",329064917,188,6,781,28,55289.8550724638,13550.7246376812,52898.5507246377,54420.2898550725,2.37339187392012e-06,8.50895934311952e-08,0.000168021117463773,4.11794875042275e-05,0.000160754149080674,0.000165378583506283
"2020/03/11","US",329064917,365,5,1146,33,72753.6231884058,17463.768115942,69637.6811594203,71739.1304347826,3.48259550257678e-06,1.00284163686766e-07,0.000221092007776708,5.30708903129349e-05,0.000211622927762367,0.000218009051492969
"2020/03/12","US",329064917,439,10,1585,43,96376.8115942029,23623.1884057971,92681.1594202899,95144.9275362319,4.81667877101587e-06,1.30673304197907e-07,0.000292880846955201,7.17888391784929e-05,0.000281650077635866,0.000289137257182089
"2020/03/13","US",329064917,633,8,2218,51,126231.884057971,29855.0724637681,122028.985507246,124710.144927536,6.74031136537111e-06,1.5498461660682e-07,0.000383607846162376,9.07269992071751e-05,0.000370835598701172,0.000378983411736768
"2020/03/14","US",329064917,759,7,2977,58,163985.507246377,37753.6231884058,158913.043478261,162391.304347826,9.04684713016672e-06,1.76257014964619e-07,0.00049833786215009,0.000114730015987714,0.000482923080731395,0.000493493216561357
"2020/03/15","US",329064917,234,12,3211,70,210000,46014.4927536232,202971.014492754,207971.014492754,9.75795301812742e-06,2.12723983577988e-07,0.000638171950733964,0.000139834088583874,0.000616811467910916,0.000632006038166486
"2020/03/16","US",329064917,1467,27,4678,97,252898.550724638,42898.5507246377,243260.869565217,250507.246376812,1.42160399311118e-05,2.94774662958069e-07,0.000768536959303497,0.000130365008569533,0.000739248874607977,0.000761269990920398
"2020/03/17","US",329064917,1833,36,6511,133,303405.797101449,50507.2463768116,289492.753623188,300289.855072464,1.9786369386804e-05,4.04175568798177e-07,0.000922024140001072,0.000153487180697575,0.000879743596681224,0.000912555059986731
"2020/03/18","US",329064917,2657,59,9168,192,382463.768115942,79057.9710144927,363333.333333333,378768.115942029,2.78607640206142e-05,5.8347149781391e-07,0.00116227451896959,0.000240250378968514,0.0011041387719048,0.00115104374965025
"2020/03/19","US",329064917,4494,72,13662,264,473840.579710145,91376.8115942029,447246.376811594,469637.68115942,4.1517643766321e-05,8.02273309494126e-07,0.00143996079566922,0.00027768627669963,0.00135914329880263,0.00142718854820801
"2020/03/20","US",329064917,6367,103,20029,367,582246.376811594,108405.797101449,548478.260869565,577173.913043478,6.08664095297646e-05,1.11528145675888e-06,0.00176939669570304,0.00032943590003382,0.00166677829368716,0.00175398191428434
"2020/03/21","US",329064917,5995,99,26024,466,684202.898550725,101956.52173913,642463.768115942,677173.913043478,7.90846992661937e-05,1.41613394781918e-06,0.0020792338022188,0.000309837106515765,0.00195239217225926,0.00205787331939575
