"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/05","KY",64948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/06","KY",64948,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,0,0,0.00111571977760581,0.00111571977760581,0.00111571977760581,0.00111571977760581
"2020/03/07","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/08","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/09","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/10","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/11","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/12","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/13","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/14","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/15","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/16","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/17","KY",64948,0,0,0,0,72.463768115942,0,72.463768115942,72.463768115942,0,0,0.00111571977760581,0,0.00111571977760581,0.00111571977760581
"2020/03/18","KY",64948,0,0,0,0,72.463768115942,0,0,72.463768115942,0,0,0.00111571977760581,0,0,0.00111571977760581
"2020/03/19","KY",64948,0,0,0,0,72.463768115942,0,0,72.463768115942,0,0,0.00111571977760581,0,0,0.00111571977760581
"2020/03/20","KY",64948,1,0,1,0,72.463768115942,0,0,72.463768115942,1.53969329309602e-05,0,0.00111571977760581,0,0,0.00111571977760581
"2020/03/21","KY",64948,2,1,3,1,72.463768115942,0,0,72.463768115942,4.61907987928805e-05,1.53969329309602e-05,0.00111571977760581,0,0,0.00111571977760581
"2020/03/22","KY",64948,0,0,3,1,72.463768115942,0,0,72.463768115942,4.61907987928805e-05,1.53969329309602e-05,0.00111571977760581,0,0,0.00111571977760581
"2020/03/23","KY",64948,0,0,3,1,72.463768115942,0,0,72.463768115942,4.61907987928805e-05,1.53969329309602e-05,0.00111571977760581,0,0,0.00111571977760581
"2020/03/24","KY",64948,0,0,3,1,72.463768115942,0,0,0,4.61907987928805e-05,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/25","KY",64948,0,0,3,1,72.463768115942,0,0,0,4.61907987928805e-05,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/26","KY",64948,0,0,3,1,72.463768115942,0,0,0,4.61907987928805e-05,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/27","KY",64948,3,0,6,1,72.463768115942,0,0,0,9.23815975857609e-05,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/28","KY",64948,2,0,8,1,72.463768115942,0,0,0,0.000123175463447681,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/29","KY",64948,0,0,8,1,72.463768115942,0,0,0,0.000123175463447681,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/30","KY",64948,0,0,8,1,72.463768115942,0,0,0,0.000123175463447681,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/03/31","KY",64948,4,0,12,1,72.463768115942,0,0,0,0.000184763195171522,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/01","KY",64948,2,0,14,1,72.463768115942,0,0,0,0.000215557061033442,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/02","KY",64948,8,0,22,1,72.463768115942,0,0,0,0.000338732524481123,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/03","KY",64948,6,0,28,1,72.463768115942,0,0,0,0.000431114122066884,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/04","KY",64948,1,0,29,1,72.463768115942,0,0,0,0.000446511054997844,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/05","KY",64948,6,0,35,1,72.463768115942,0,0,0,0.000538892652583605,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/06","KY",64948,4,0,39,1,72.463768115942,0,0,0,0.000600480384307446,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/07","KY",64948,0,0,39,1,72.463768115942,0,0,0,0.000600480384307446,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/08","KY",64948,6,0,45,1,72.463768115942,0,0,0,0.000692861981893207,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/09","KY",64948,0,0,45,1,72.463768115942,0,0,0,0.000692861981893207,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/10","KY",64948,0,0,45,1,72.463768115942,0,0,0,0.000692861981893207,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/11","KY",64948,0,0,45,1,72.463768115942,0,0,0,0.000692861981893207,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/12","KY",64948,8,0,53,1,72.463768115942,0,0,0,0.000816037445340888,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/13","KY",64948,0,0,53,1,72.463768115942,0,0,0,0.000816037445340888,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/14","KY",64948,0,0,53,1,72.463768115942,0,0,0,0.000816037445340888,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/15","KY",64948,1,0,54,1,72.463768115942,0,0,0,0.000831434378271848,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/16","KY",64948,6,0,60,1,72.463768115942,0,0,0,0.000923815975857609,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/17","KY",64948,1,0,61,1,72.463768115942,0,0,0,0.000939212908788569,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/18","KY",64948,0,0,61,1,72.463768115942,0,0,0,0.000939212908788569,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/19","KY",64948,0,0,61,1,72.463768115942,0,0,0,0.000939212908788569,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/20","KY",64948,0,0,61,1,72.463768115942,0,0,0,0.000939212908788569,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/21","KY",64948,5,0,66,1,72.463768115942,0,0,0,0.00101619757344337,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/22","KY",64948,0,0,66,1,72.463768115942,0,0,0,0.00101619757344337,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/23","KY",64948,0,0,66,1,72.463768115942,0,0,0,0.00101619757344337,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/24","KY",64948,0,0,66,1,72.463768115942,0,0,0,0.00101619757344337,1.53969329309602e-05,0.00111571977760581,0,0,0
"2020/04/25","KY",64948,0,0,66,1,72.463768115942,0,0,0,0.00101619757344337,1.53969329309602e-05,0.00111571977760581,0,0,0
