"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"1","2020/04/16",NA,NA,NA,NA
"2","2020/04/17",NA,NA,NA,NA
"3","2020/04/20",NA,NA,NA,NA
"4","2020/04/23",NA,NA,NA,NA
"5","2020/04/28",NA,NA,NA,NA
"6","2020/05/01",NA,NA,NA,NA
"7","2020/05/09",0,NA,0,NA
"8","2020/05/15",0.00423728813559322,0,0.00423728813559322,0
"9","2020/05/16",0.00345789923821536,0,0.00345789923821536,0
"10","2020/05/17",0.0198961064760188,0,0.0198961064760188,0
"11","2020/05/18",0.0204805425430314,0,0.0204805425430314,0
"12","2020/05/19",0.0289165825861407,0.000545570020467507,0.0289165825861407,0.000545570020467507
"13","2020/05/20",0.0232797729268171,0.000964529428820172,0.0232797729268171,0.000964529428820172
"14","2020/05/21",0.0561883561471937,0.00228059041714652,0.0561883561471937,0.00228059041714652
"15","2020/05/22",0.0316185806088727,0.00195047128225467,0.0316185806088727,0.00195047128225467
"16","2020/05/23",0.0321002126751391,0.0044914113597542,0.0321002126751391,0.0044914113597542
"17","2020/05/24",0.0321002126751391,0.00208003273330195,0.0321002126751391,0.00208003273330195
"18","2020/05/25",0.0279819913646588,0.00232732546461361,0.0279819913646588,0.00232732546461361
"19","2020/05/26",0.0378106816365729,0.00223175378537956,0.0378106816365729,0.00223175378537956
"20","2020/05/27",0.0354477849576643,0.00216788570957032,0.0354477849576643,0.00216788570957032
"21","2020/05/28",0.0354477849576643,0.00216788570957032,0.0354477849576643,0.00216788570957032
"22","2020/05/29",0.0377358531161321,0.00305568379095467,0.0377358531161321,0.00305568379095467
"23","2020/06/01",0.0377358531161321,0.00217462088847384,0.0377358531161321,0.00217462088847384
"24","2020/06/02",0.0391756151931371,0.004108189821725,0.0391756151931371,0.004108189821725
"25","2020/06/03",0.0417110244610555,0.00299510618560046,0.0417110244610555,0.00299510618560046
"26","2020/06/04",0.0417297556957765,0.00299479790533314,0.0417297556957765,0.00299479790533314
"27","2020/06/05",0.0462102909207359,0.0115323137315595,0.0462102909207359,0.0115323137315595
"28","2020/06/06",0.0459374714170387,0.0111135200071635,0.0459374714170387,0.0111135200071635
"29","2020/06/07",0.0652569619401802,0.0403138081888051,0.0652569619401802,0.0403138081888051
"30","2020/06/08",0.0341023194293605,0.00833965210108125,0.0341023194293605,0.00833965210108125
"31","2020/06/09",0.0387307612342801,0.0123224389550827,0.0387307612342801,0.0123224389550827
"32","2020/06/10",0.0860381354041214,0.0274570085455686,0.0860381354041214,0.0274570085455686
"33","2020/06/11",0.0529913817597432,0.013637994852396,0.0529913817597432,0.013637994852396
"34","2020/06/12",0.0566160196838799,0.0210094784827986,0.0566160196838799,0.0210094784827986
"35","2020/06/13",0.0449936986557762,0.015366764243488,0.0439759755043383,0.015366764243488
"36","2020/06/14",0.0505696302313029,0.013849987926317,0.0505696302313029,0.013849987926317
"37","2020/06/15",0.0404524567244013,0.0140461609227804,0.0404524567244013,0.0140461609227804
"38","2020/06/16",0.0522694795807359,0.0139754415934133,0.0522694795807359,0.0139754415934133
"39","2020/06/17",0.0534051522632957,0.0141267470064435,0.0534051522632957,0.0141267470064435
"40","2020/06/18",0.0552265047132798,0.0141804981421246,0.0552265047132798,0.0141804981421246
"41","2020/06/19",0.0610307440285249,0.0141597023942583,0.0610307440285249,0.0141597023942583
"42","2020/06/20",0.0661458767925234,0.0144202606403953,0.0661458767925234,0.0144202606403953
"43","2020/06/21",0.0653290661755389,0.00689880675115468,0.0653290661755389,0.00689880675115468
"44","2020/06/22",0.0605656314320314,0.00600283424737556,0.0605656314320314,0.00600283424737556
"45","2020/06/23",0.0713415843790412,0.00297491322325869,0.0713415843790412,0.00297491322325869
"46","2020/06/24",0.066297388283254,0.00329454978895965,0.066297388283254,0.00329454978895965
"47","2020/06/25",0.0449623296314798,0.00278399441945659,0.0449623296314798,0.00278399441945659
"48","2020/06/26",0.04911820588129,0.00203559941025634,0.04911820588129,0.00203559941025634
"49","2020/06/27",0.0638109155401025,0.00593734499054681,0.0638109155401025,0.00593734499054681
"50","2020/06/28",0.0732856043019966,0.00777272527121597,0.0732856043019966,0.00777272527121597
"51","2020/06/29",0.0609242388608957,0.00771840004804075,0.0609242388608957,0.00771840004804075
"52","2020/06/30",0.0471802058468849,0.0014426934648386,0.0471802058468849,0.0014426934648386
"53","2020/07/02",0.0471802058468849,0.0014426934648386,0.0471802058468849,0.0014426934648386
"54","2020/07/03",0.0439012417602455,0.00362827525577669,0.0439012417602455,0.00362827525577669
"55","2020/07/04",0.0382001004225052,0.00188989811770976,0.0382001004225052,0.00188989811770976
"56","2020/07/05",0.0472071744464673,0.00145158580621458,0.0472071744464673,0.00145158580621458
"57","2020/07/06",0.0585388690824096,0.00303531116878815,0.0585388690824096,0.00303531116878815
"58","2020/07/07",0.0393610374073242,0.00130521298630143,0.0393610374073242,0.00130521298630143
"59","2020/07/08",0.0349702776169561,0.00171653400835332,0.0349702776169561,0.00171653400835332
"60","2020/07/09",0.0491295270732622,0.00139583120719351,0.0491295270732622,0.00139583120719351
"61","2020/07/10",0.0492009289653127,0.00131088320291311,0.0492009289653127,0.00131088320291311
"62","2020/07/13",NA,NA,NA,NA
"63","2020/07/14",NA,NA,NA,NA
"64","2020/07/16",NA,NA,NA,NA
"65","2020/07/17",NA,NA,NA,NA
"66","2020/07/19",NA,NA,NA,NA
"67","2020/07/21",NA,NA,NA,NA
"68","2020/07/23",NA,NA,NA,NA
"69","2020/07/25",NA,NA,NA,NA
"70","2020/07/27",NA,NA,NA,NA
"71","2020/07/28",NA,NA,NA,NA
"72","2020/07/29",NA,NA,NA,NA
"73","2020/07/30",NA,NA,NA,NA
"74","2020/07/31",NA,NA,NA,NA
"75","2020/08/01",NA,NA,NA,NA
"76","2020/08/03",NA,NA,NA,NA
"77","2020/08/04",NA,NA,NA,NA
"78","2020/08/05",NA,NA,NA,NA
"79","2020/08/06",NA,NA,NA,NA
"80","2020/08/07",0.0530168893533752,0.00943969310618135,0.0530168893533752,0.00943969310618135
"81","2020/08/10",0.0383340297210789,0.00943224187161048,0.0383340297210789,0.00943224187161048
"82","2020/08/11",0.0533324545259073,0.00638211197102822,0.0533324545259073,0.00638211197102822
"83","2020/08/12",0.0543195077460235,0.00695932628544824,0.0543195077460235,0.00695932628544824
