"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESAL",716820,0,0,0,0,0,0,60,2,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESGR",914678,0.025,0.025,0,0,0,0,40,2,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESH",521870,0.00819672131147541,0.0166666666666667,0,0,0,0,122,3,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESCA",1240155,0,0,0,0,0,0,20,1,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESJ",633564,0,0,0,0,0,0,0,0,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESMA",1661785,0.0773809523809524,0.0546666666666667,0.00595238095238095,0.004,0.00595238095238095,0.004,168,5,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAN","ESSE",1942389,0.0169491525423729,0.0108333333333333,0,0,0,0,295,3,8414240,0.0279755849440488,0.0385519536449769,0.00154559505409583,0.00115079365079365,0.00156168662155128,0.00190048634493079,1966,30,0.0224211487146585,0.0170486671998897,0.00117557585485467,0.00078998697446234,0.00117557585485467,0.00078998697446234,705,705,0.0265095132324351,0.0328762453170898,0.00144792993411641,0.00105556014019329,0.00145977419529852,0.0016073743808049
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0.0476190476190476,0.0845427489177489,0.00183150183150183,0.000833333333333333,0.00427350427350427,0.00579861111111111,1638,24,0.0896335155190027,0.0706421629984144,0,0,0,0,155,155,0.0512510847213862,0.0833410808656034,0.00167317345231456,0.000761293920803123,0.00390407138873397,0.0052973368655884
"ES",2020-08-14,47026208,0.0896114195083267,0.00861326442721792,0.0063441712926249,1261,19,0.0447088094808302,17123,0.0019114119371832,0.010403103558908,17123,0.0477887807191175,0.00237110710634844,0.00237110710634844,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0.0476190476190476,0.0845427489177489,0.00183150183150183,0.000833333333333333,0.00427350427350427,0.00579861111111111,1638,24,0.0896335155190027,0.0706421629984144,0,0,0,0,155,155,0.0512510847213862,0.0833410808656034,0.00167317345231456,0.000761293920803123,0.00390407138873397,0.0052973368655884
