"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESAL",716820,0,0,0,0,0,0,0,0,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESCO",782979,0,0,0,0,0,0,0,0,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESGR",914678,0,0,0,0,0,0,0,0,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESH",521870,0,0,0,0,0,0,0,0,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESCA",1240155,0,0,0,0,0,0,20,1,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESJ",633564,0,0,0,0,0,0,0,0,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESMA",1661785,0.0569105691056911,0.035,0.00813008130081301,0.005,0.00813008130081301,0.005,123,4,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAN","ESSE",1942389,0.0178571428571429,0.01625,0,0,0,0,280,2,8414240,0.0316820276497696,0.0411075092005325,0.00116890707188778,0.00158730158730159,0.00236546422235364,0.0027235316124205,1736,30,0.0153618922134909,0.01066362455195,0.00160566458224053,0.000987483718077925,0.00160566458224053,0.000987483718077925,423,423,0.0284845207995862,0.0351428203601664,0.00125447836733902,0.00146978284775476,0.00221660120810267,0.00238339809722508
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAR","ESTE",134137,0,0,0,0,0,0,0,0,1319291,0.0441030723488603,0.0789675324675325,0.00183150183150183,0.000833333333333333,0.00427350427350427,0.00579861111111111,2018,30,0.210929072451094,0.109683117674569,0,0,0,0,52,52,0.0482938704190613,0.0797391317094484,0.00178549308984092,0.000812399355877617,0.00416615054296214,0.00565294551798175
"ES",2020-06-13,47026208,0.0767271569563833,0.0104058272632674,0.00754005655042413,3141,30,0.0429305307954806,19533,0.00173105787598463,0.00211395901650873,19533,0.0476123338638142,0.0029327625000234,0.0029327625000234,"ESAR","ESHU",220461,0,0,0,0,0,0,0,0,1319291,0.0441030723488603,0.0789675324675325,0.00183150183150183,0.000833333333333333,0.00427350427350427,0.00579861111111111,2018,30,0.210929072451094,0.109683117674569,0,0,0,0,52,52,0.0482938704190613,0.0797391317094484,0.00178549308984092,0.000812399355877617,0.00416615054296214,0.00565294551798175
