"","date","sample_size","p_cases","p_cases_low","p_cases_high","p_m","p_m_low","p_m_high","p_cases_recent","p_cases_recent_low","p_cases_recent_high","p_m_recent","p_m_recent_low","p_m_recent_high","p_cases_recovered","p_cases_recovered_low","p_cases_recovered_high","p_m_recovered","p_m_recovered_low","p_m_recovered_high","p_cases_fatalities","p_cases_fatalities_low","p_cases_fatalities_high","p_m_fatalities","p_m_fatalities_high","p_cases_stillsick","p_cases_stillsick_low","p_cases_stillsick_high","p_m_stillsick","p_m_stillsick_high","p_cases_active_cases","p_cases_active_cases_low","p_cases_active_cases_high","p_m_active_cases","p_m_active_cases_high","population"
"1","2020/05/16",99,0.0081059707394227,0.00563485075818223,0.0105770907206632,0.0165485128854113,0.0130327900046311,0.0200642357661915,0.00156810035842294,0.000407367846368469,0.00272883287047741,0.00248377832145516,0.0010236117634329,0.00394394487947743,0.031048758049678,0.0258931914469297,0.0362043246524263,0.0327312472900708,0.0274424346745146,0.038020059905627,NA,NA,NA,NA,NA,0.00112460638776428,0.000139417981890527,0.00210979479363804,0.00167303284950344,0.00287433428842999,0.610517991300909,0.59707946602722,0.623956516574598,2.76462968398308,NA,211049519
"2","2020/05/17",45,0.00900393922341024,0.00589836709218026,0.0121095113546402,0.0129106258665082,0.00919919593649311,0.0166220557965233,0.00207591933570581,0.000539682068388907,0.00361215660302272,0.00547727272727273,0.00298615732333842,0.00796838813120703,0.0083283759666865,0.00525643163903725,0.0114003202943357,0.0144073655103067,0.0103793582171839,0.0184353728034295,NA,NA,NA,NA,NA,0.000903070439494281,-0.000118369657906212,0.00192451053689477,0.000502392344497608,0.00126440233083389,0.924310635903208,0.915614710956403,0.933006560850012,3.90278709093399,NA,211049519
"3","2020/05/20",64,0.0411556282365767,0.0347278199586582,0.0475834365144953,0.0457491629464286,0.0389883785539294,0.0525099473389277,0.00617474529175671,0.00347696141258232,0.00887252917093111,0.00787878787878788,0.00483401649917242,0.0109235592584033,0.0319042871385842,0.0256248507080674,0.0381837235691011,0.0350241464510332,0.0284554529132098,0.0415928399888567,NA,NA,NA,NA,NA,0.00707623029913155,0.00412979666721421,0.0100226639310489,0.0113860684769776,0.0151154600813613,2.94712455710003,NA,NA,11.2051075064259,NA,211049519
"4","2020/05/21",33,0.0396659707724426,0.0325304625319546,0.0468014790129306,0.0502215234674251,0.0422367828573306,0.0582062640775197,0.00509646887513651,0.00243363584368207,0.00775930190659095,0.00289988290398126,0.000889038921853916,0.00491072688610861,1.49362941390608,NA,NA,9.5701350078493,NA,NA,NA,NA,NA,NA,NA,0.00436840189297415,0.00190219566446497,0.00683460812148333,0.00425702576112412,0.00669172615415166,3.88100208768267,NA,NA,11.5437290615203,NA,211049519
"5","2020/05/23",30,0.0136686714051394,0.00834739517759173,0.0189899476326871,0.0321388888888889,0.024056063676837,0.0402217141009408,0.00613839285714286,0.00252205177258646,0.00975473394169925,0.00607142857142857,0.00247474591366058,0.00966811122919656,0.0401810979060555,0.031024474242666,0.0493377215694449,0.134969135802469,0.119037408963966,0.150900862640973,NA,NA,NA,NA,NA,0.00669642857142857,0.00292034404558131,0.0104725130972758,0.00785714285714286,0.0119450264298024,5.81629305631493,NA,NA,15.6646456582633,NA,211049519
"6","2020/06/02",31,0.0150018294914014,0.0104444195052723,0.0195592394775305,0.0276413210445469,0.0214949196287439,0.0337877224603498,0.0012531328320802,-0.000164005636838327,0.00267027130099873,0.00165333333333333,2.58861051316531e-05,0.00328078056153501,0.0118782479584261,0.00778723628557662,0.0159692596312756,0.0237695578231293,0.0180173307754388,0.0295217848708197,NA,NA,NA,NA,NA,0.000742390497401633,-0.000286109345152526,0.00177089033995579,5e-04,0.00134416180223057,3.98792535675082,NA,NA,11.8974362519201,NA,211049519
"7","2020/06/09",41,0.0527563722584469,0.0452133765588622,0.0602993679580317,0.0482913239059098,0.0410575967809444,0.0555250510308751,0.00686157517899761,0.00406701869755054,0.00965613166044469,0.0291680541680542,0.0234713739085092,0.0348647344275992,0.0444510739856802,0.037474155007448,0.0514279929639124,0.0394691007562295,0.0328776597112021,0.0460605418012569,0.0048030739673391,0.000603194017431904,0.00900295391724629,0.00251082251082251,0.00555090123008134,0.00759416767922236,0.0046286335755876,0.0105597017828571,0.0253429027113238,0.0307116415801126,1.71458209839953,NA,NA,10.0477715924903,NA,211049519
"8","2020/06/10",37,0.0448383733055266,0.0372762889518765,0.0524004576591767,0.057960102960103,0.0494216855418931,0.0664985203783128,0.00809289232934553,0.00479889352967337,0.0113868911290177,0.0187619047619048,0.0137734996207373,0.0237503099030722,0.436117059243398,0.417755479588277,0.454478638898518,1.63308163265306,NA,NA,0.00285510349750178,0.000879480427219691,0.00483072656778388,0.00647619047619048,0.00944623508320387,0.00967048710601719,0.00604050553656469,0.0133004686754697,0.0337254901960784,0.0404215570492343,4.1797010775113,NA,NA,17.2831402831403,NA,211049519
"9","2020/06/12",40,0.0724954462659381,0.0627950314625922,0.0821958610692839,0.0619775641025641,0.0529576836554962,0.070997444549632,0.0172477064220183,0.0123594661304086,0.0221359467136281,0.0280111768573307,0.021815893838514,0.0342064598761474,0.0650283553875236,0.05563142827837,0.0744252824966773,0.0734750337381916,0.0635316611516305,0.0834184063247528,0.0050682261208577,0.00232014816718996,0.00781630407452544,0.00243243243243243,0.00433875311405362,0.0231192660550459,0.0174767522357633,0.0287617798743284,0.0190368178829717,0.0241676566693589,6.55737704918033,NA,NA,12.4015096153846,NA,211049519
"10","2020/06/16",32,0.0513392857142857,0.0429964473826107,0.0596821240459608,0.0406175595238095,0.0331550267014952,0.0480800923461238,0.00409530900967982,0.00168014118512208,0.00651047683423757,0.00354838709677419,0.00129964997222056,0.00579712422132783,0.0315870570107858,0.0248591400632506,0.0383149739583211,0.0288010204081633,0.0223674242988087,0.0352346165175178,0.0101275318829707,0.00632686811611421,0.0139281956498273,0.00788888888888889,0.0112470853133126,0.00487621905476369,0.00223199546993114,0.00752044263959624,0.00366666666666667,0.00596099761755296,6.98065476190476,NA,NA,50.4764583333333,NA,211049519
