"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"15877","2020/03/20",2,0,2,0,2,2,0,NA,NA,NA,3.52982703847511e-05,3.52982703847511e-05,0,56660
"15876","2020/03/21",0,0,2,0,0,2,0,0,NA,NA,0,3.52982703847511e-05,0,56660
"15875","2020/03/22",0,0,2,0,0,2,0,0,NA,NA,0,3.52982703847511e-05,0,56660
"15874","2020/03/23",0,0,2,0,0,2,0,0,NA,NA,0,3.52982703847511e-05,0,56660
"15873","2020/03/24",2,0,4,0,2,4,0,0,NA,NA,3.52982703847511e-05,7.05965407695023e-05,0,56660
"15872","2020/03/25",0,0,4,0,0,4,0,0,0,NA,0,7.05965407695023e-05,0,56660
"15871","2020/03/26",1,0,5,0,1,5,0,0,0,NA,1.76491351923756e-05,8.82456759618779e-05,0,56660
"15870","2020/03/27",1,0,6,0,1,6,0,0,0,NA,1.76491351923756e-05,0.000105894811154253,0,56660
"15869","2020/03/28",3,0,9,0,3,9,0,0,0,NA,5.29474055771267e-05,0.00015884221673138,0,56660
"15868","2020/03/29",1,0,10,0,1,10,0,0,0,NA,1.76491351923756e-05,0.000176491351923756,0,56660
"15867","2020/03/30",0,0,10,0,0,10,0,0,0,NA,0,0.000176491351923756,0,56660
"15866","2020/03/31",0,0,10,0,0,10,0,0,0,NA,0,0.000176491351923756,0,56660
"15865","2020/04/01",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"15864","2020/04/02",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"15863","2020/04/03",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"15862","2020/04/04",0,0,10,0,0,8,0,0,0,NA,0,0.000141193081539005,0,56660
"15861","2020/04/05",0,0,10,0,0,6,0,0,0,NA,0,0.000105894811154253,0,56660
"15860","2020/04/06",1,0,11,0,1,7,0,0,0,NA,1.76491351923756e-05,0.000123543946346629,0,56660
"15859","2020/04/07",0,0,11,0,0,6,0,0,0,NA,0,0.000105894811154253,0,56660
"15858","2020/04/08",0,0,11,0,0,5,0,0,0,NA,0,8.82456759618779e-05,0,56660
"15857","2020/04/09",0,0,11,0,0,2,0,0,0,NA,0,3.52982703847511e-05,0,56660
"15856","2020/04/10",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15855","2020/04/11",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15854","2020/04/12",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15853","2020/04/13",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15852","2020/04/14",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15851","2020/04/15",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15850","2020/04/16",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15849","2020/04/17",0,0,11,0,0,1,0,0,0,NA,0,1.76491351923756e-05,0,56660
"15848","2020/04/18",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"15847","2020/04/19",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"15846","2020/04/20",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"15845","2020/04/21",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
"15844","2020/04/22",0,0,11,0,0,0,0,0,0,NA,0,0,0,56660
